word,count,tf,document_count,idf,tf-idf
abn,1352,0.01654267815191856,9.0,0.7472144018302211,0.012360927359955694
amro,1352,0.01654267815191856,9.0,0.7472144018302211,0.012360927359955694
eur,892,0.01091425215348473,14.0,0.3053816495511819,0.003333012326248706
banking,469,0.005738547376664057,12.0,0.45953232937844013,0.002637048043246971
nlfi,63,0.0007708496476115898,2.0,2.2512917986064953,0.001735407489626679
aag,61,0.0007463782302270947,2.0,2.2512917986064953,0.0016803151883686889
stak,61,0.0007463782302270947,2.0,2.2512917986064953,0.0016803151883686889
rea,57,0.0006974353954581049,2.0,2.2512917986064953,0.0015701305858527093
forborne,76,0.0009299138606108067,4.0,1.55814461804655,0.001448940277157618
mortgages,115,0.0014071064996084572,7.0,0.9985288301111273,0.001405036406895796
client,146,0.0017864134690681285,9.0,0.7472144018302211,0.0013348338717111918
rwa,63,0.0007708496476115898,4.0,1.55814461804655,0.0012010952297490782
mortgage,100,0.0012235708692247456,8.0,0.8649974374866045,0.0010583856664626622
ead,47,0.0005750783085356302,4.0,1.55814461804655,0.0008960551714001056
pb,31,0.00037930696945967117,2.0,2.2512917986064953,0.0008539306694988421
buffer,43,0.0005261354737666407,4.0,1.55814461804655,0.0008197951568128629
var,41,0.0005016640563821457,4.0,1.55814461804655,0.0007816651495192412
recognised,135,0.0016518206734534063,12.0,0.45953232937844013,0.0007590650017875075
securitisation,44,0.000538371182458888,5.0,1.33500106673234,0.0007187261028805667
introduction,338,0.00413566953797964,16.0,0.17185025692665923,0.0007107158726655592
ibni,23,0.00028142129992169145,2.0,2.2512917986064953,0.0006335614644668827
depositary,79,0.0009666209866875488,10.0,0.6418538861723947,0.0006204294367611978
clients,286,0.003499412685982772,16.0,0.17185025692665923,0.00060137496917855
strategyand,21,0.00025694988253719656,2.0,2.2512917986064953,0.000578469163208893
andperformance,21,0.00025694988253719656,2.0,2.2512917986064953,0.000578469163208893
edtf,21,0.00025694988253719656,2.0,2.2512917986064953,0.000578469163208893
clearing,41,0.0005016640563821457,6.0,1.1526795099383853,0.0005782578786642741
zoutendijk,20,0.00024471417384494906,2.0,2.2512917986064953,0.000550923012579898
sme,39,0.00047719263899765067,6.0,1.1526795099383853,0.0005500501772660168
ect,24,0.0002936570086139389,3.0,1.8458266904983307,0.0005420399443515066
crd,33,0.000403778386844166,5.0,1.33500106673234,0.0005390445771604251
roobeek,19,0.00023247846515270167,2.0,2.2512917986064953,0.0005233768619509032
derivativesrelated,19,0.00023247846515270167,2.0,2.2512917986064953,0.0005233768619509032
leadership,373,0.0045639193422083,17.0,0.1112256351102244,0.0005076248274289558
ucr,18,0.0002202427564604542,2.0,2.2512917986064953,0.0004958307113219082
residential,74,0.0009054424432263117,11.0,0.5465437063680699,0.0004948638688238691
funding,720,0.008809710258418167,18.0,0.05406722127027579,0.0004763165538689136
dutch,222,0.0027163273296789353,16.0,0.17185025692665923,0.00046680154950223124
basel,38,0.00046495693030540334,7.0,0.9985288301111273,0.00046427289966991534
securitisations,24,0.0002936570086139389,4.0,1.55814461804655,0.00045756008752345824
dijkhuizen,16,0.00019577133907595928,2.0,2.2512917986064953,0.0004407384100639184
banks,209,0.002557263116679718,16.0,0.17185025692665923,0.00043946632363047887
institutional,93,0.0011379209083790132,13.0,0.3794896217049037,0.0004318291750508521
abrahams,15,0.00018353563038371183,2.0,2.2512917986064953,0.0004131922594349235
annemieke,15,0.00018353563038371183,2.0,2.2512917986064953,0.0004131922594349235
ec,29,0.00035483555207517617,6.0,1.1526795099383853,0.00040901167027473044
subinvestment,18,0.0002202427564604542,3.0,1.8458266904983307,0.00040652995826363
unitlinked,18,0.0002202427564604542,3.0,1.8458266904983307,0.00040652995826363
billions,38,0.00046495693030540334,8.0,0.8649974374866045,0.0004021865532558117
eba,21,0.00025694988253719656,4.0,1.55814461804655,0.000400365076583026
ics,21,0.00025694988253719656,4.0,1.55814461804655,0.000400365076583026
owing,24,0.0002936570086139389,5.0,1.33500106673234,0.00039203241975303637
neuflize,14,0.00017129992169146436,2.0,2.2512917986064953,0.0003856461088059286
fullyloaded,20,0.00024471417384494906,4.0,1.55814461804655,0.00038130007293621517
tltro,20,0.00024471417384494906,4.0,1.55814461804655,0.00038130007293621517
mrel,19,0.00023247846515270167,4.0,1.55814461804655,0.0003622350692894045
olga,13,0.00015906421299921692,2.0,2.2512917986064953,0.00035809995817693375
nonindustry,13,0.00015906421299921692,2.0,2.2512917986064953,0.00035809995817693375
subordinated,53,0.0006484925606891151,11.0,0.5465437063680699,0.0003544295276711495
lending,45,0.0005506068911511353,10.0,0.6418538861723947,0.00035340917283865696
irb,18,0.0002202427564604542,4.0,1.55814461804655,0.0003431700656425937
abnamrocom,12,0.00014682850430696947,2.0,2.2512917986064953,0.00033055380754793887
dorland,12,0.00014682850430696947,2.0,2.2512917986064953,0.00033055380754793887
bank,497,0.006081147220046985,18.0,0.05406722127027579,0.00032879073232340285
cet,31,0.00037930696945967117,8.0,0.8649974374866045,0.00032809955660342534
tier,49,0.0005995497259201253,11.0,0.5465437063680699,0.0003276801293563458
bankwide,17,0.00020800704776820672,4.0,1.55814461804655,0.00032410506199578295
nv,236,0.0028876272513704,17.0,0.1112256351102244,0.00032117817499526435
amortised,35,0.00042824980422866095,9.0,0.7472144018302211,0.0003199944213006282
rbs,14,0.00017129992169146436,3.0,1.8458266904983307,0.0003161899675383789
default,109,0.0013336922474549726,15.0,0.23638877806423034,0.0003152698806896181
encumbered,19,0.00023247846515270167,5.0,1.33500106673234,0.00031035899897115384
governance,462,0.005652897415818324,18.0,0.05406722127027579,0.00030563645539921955
leeflang,11,0.000134592795614722,2.0,2.2512917986064953,0.00030300765691894393
stegmann,11,0.000134592795614722,2.0,2.2512917986064953,0.00030300765691894393
income,457,0.005591718872357087,18.0,0.05406722127027579,0.00030232870155290766
organisation,38,0.00046495693030540334,10.0,0.6418538861723947,0.0002984344126193104
taxonomy,13,0.00015906421299921692,3.0,1.8458266904983307,0.0002936049698570661
digitalisation,24,0.0002936570086139389,7.0,0.9985288301111273,0.0002932249892652096
forbearance,15,0.00018353563038371183,4.0,1.55814461804655,0.0002859750547021614
onbalance,20,0.00024471417384494906,6.0,1.1526795099383853,0.0002820770139825727
corporates,17,0.00020800704776820672,5.0,1.33500106673234,0.0002776896306584008
obligor,17,0.00020800704776820672,5.0,1.33500106673234,0.0002776896306584008
crr,17,0.00020800704776820672,5.0,1.33500106673234,0.0002776896306584008
bethmann,10,0.00012235708692247456,2.0,2.2512917986064953,0.00027546150628994905
ivcrr,10,0.00012235708692247456,2.0,2.2512917986064953,0.00027546150628994905
undiversified,10,0.00012235708692247456,2.0,2.2512917986064953,0.00027546150628994905
clifford,10,0.00012235708692247456,2.0,2.2512917986064953,0.00027546150628994905
cuppen,10,0.00012235708692247456,2.0,2.2512917986064953,0.00027546150628994905
branch,30,0.00036707126076742367,9.0,0.7472144018302211,0.0002742809325433956
tiemstra,12,0.00014682850430696947,3.0,1.8458266904983307,0.00027101997217575337
offbalance,34,0.0004160140955364135,10.0,0.6418538861723947,0.00026702026392254086
niiatrisk,14,0.00017129992169146436,4.0,1.55814461804655,0.0002669100510553506
phasein,14,0.00017129992169146436,4.0,1.55814461804655,0.0002669100510553506
ltmv,14,0.00017129992169146436,4.0,1.55814461804655,0.0002669100510553506
retail,124,0.0015172278778386847,16.0,0.17185025692665923,0.0002607360006228679
programmes,32,0.00039154267815191856,10.0,0.6418538861723947,0.0002513131895741561
banque,9,0.0001101213782302271,2.0,2.2512917986064953,0.0002479153556609541
steven,13,0.00015906421299921692,4.0,1.55814461804655,0.0002478450474085399
favourable,27,0.0003303641346906813,9.0,0.7472144018302211,0.00024685283928905605
lcr,15,0.00018353563038371183,5.0,1.33500106673234,0.0002450202623456478
defence,20,0.00024471417384494906,7.0,0.9985288301111273,0.000244354157721008
amortisation,26,0.00031812842599843384,9.0,0.7472144018302211,0.0002377101415376095
cc,19,0.00023247846515270167,7.0,0.9985288301111273,0.00023213644983495767
mifid,12,0.00014682850430696947,4.0,1.55814461804655,0.00022878004376172915
xs,14,0.00017129992169146436,5.0,1.33500106673234,0.00022868557818927124
fair,345,0.004221319498825372,18.0,0.05406722127027579,0.0002282350153955211
verzekeringen,10,0.00012235708692247456,3.0,1.8458266904983307,0.00022584997681312778
obc,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
unclassified,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
reehoorn,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
pensioeninstelling,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
frederieke,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
vogelzang,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
wijn,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
crossliabilities,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
tanja,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
notionals,8,9.788566953797964e-05,2.0,2.2512917986064953,0.0002203692050319592
pledged,28,0.0003425998433829287,10.0,0.6418538861723947,0.0002198990408773866
supervisory,325,0.003976605324980423,18.0,0.05406722127027579,0.00021500400001027352
noncredit,13,0.00015906421299921692,5.0,1.33500106673234,0.00021235089403289474
nps,15,0.00018353563038371183,6.0,1.1526795099383853,0.00021155776048692958
factoring,15,0.00018353563038371183,6.0,1.1526795099383853,0.00021155776048692958
lgd,11,0.000134592795614722,4.0,1.55814461804655,0.00020971504011491838
psd,11,0.000134592795614722,4.0,1.55814461804655,0.00020971504011491838
immovable,11,0.000134592795614722,4.0,1.55814461804655,0.00020971504011491838
subtotal,17,0.00020800704776820672,7.0,0.9985288301111273,0.00020770103406285683
remuneration,151,0.0018475920125293657,17.0,0.1112256351102244,0.00020549959501815637
standardised,19,0.00023247846515270167,8.0,0.8649974374866045,0.00020109327662790584
bps,19,0.00023247846515270167,8.0,0.8649974374866045,0.00020109327662790584
impaired,95,0.001162392325763508,16.0,0.17185025692665923,0.00019975741983203581
collateral,94,0.0011501566170712607,16.0,0.17185025692665923,0.00019765471014959336
ifrs,94,0.0011501566170712607,16.0,0.17185025692665923,0.00019765471014959336
costsaving,14,0.00017129992169146436,6.0,1.1526795099383853,0.00019745390978780092
interestonly,12,0.00014682850430696947,5.0,1.33500106673234,0.0001960162098765182
riskweighted,12,0.00014682850430696947,5.0,1.33500106673234,0.0001960162098765182
rmbs,12,0.00014682850430696947,5.0,1.33500106673234,0.0001960162098765182
demerger,16,0.00019577133907595928,7.0,0.9985288301111273,0.00019548332617680644
billion,293,0.003585062646828505,18.0,0.05406722127027579,0.00019383437539387737
bornfeld,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
moneyou,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
ccp,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
gfk,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
arjen,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
stater,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
tjalling,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
lecl,7,8.564996084573218e-05,2.0,2.2512917986064953,0.0001928230544029643
visa,10,0.00012235708692247456,4.0,1.55814461804655,0.0001906500364681076
srb,10,0.00012235708692247456,4.0,1.55814461804655,0.0001906500364681076
ama,10,0.00012235708692247456,4.0,1.55814461804655,0.0001906500364681076
nii,10,0.00012235708692247456,4.0,1.55814461804655,0.0001906500364681076
loantodeposit,10,0.00012235708692247456,4.0,1.55814461804655,0.0001906500364681076
ecb,13,0.00015906421299921692,6.0,1.1526795099383853,0.0001833500590886723
macro,20,0.00024471417384494906,9.0,0.7472144018302211,0.00018285395502893036
resultant,8,9.788566953797964e-05,3.0,1.8458266904983307,0.00018067998145050222
moderate,27,0.0003303641346906813,11.0,0.5465437063680699,0.00018055843862492521
programme,27,0.0003303641346906813,11.0,0.5465437063680699,0.00018055843862492521
policyholders,11,0.000134592795614722,5.0,1.33500106673234,0.00017968152572014168
deposit,19,0.00023247846515270167,9.0,0.7472144018302211,0.00017371125727748388
luxembourg,22,0.000269185591229444,10.0,0.6418538861723947,0.00017277781783223232
exco,9,0.0001101213782302271,4.0,1.55814461804655,0.00017158503282129685
