word,count,tf,document_count,idf,tf-idf
abn,1352,0.010897074232288223,9.0,0.7472144018302211,0.00814245080417876
amro,1352,0.010897074232288223,9.0,0.7472144018302211,0.00814245080417876
eur,892,0.007189489804142824,14.0,0.3053816495511819,0.002195538255820539
banking,469,0.0037801241234786814,12.0,0.45953232937844013,0.0017370892438017928
nlfi,63,0.0005077778673329572,2.0,2.2512917986064953,0.0011431561482405836
aag,61,0.0004916579350366728,2.0,2.2512917986064953,0.0011068654768678667
stak,61,0.0004916579350366728,2.0,2.2512917986064953,0.0011068654768678667
rea,57,0.0004594180704441041,2.0,2.2512917986064953,0.0010342841341224327
forborne,76,0.0006125574272588055,4.0,1.55814461804655,0.0009544530585277488
mortgages,115,0.0009268961070363503,7.0,0.9985288301111273,0.0009255324853935651
client,146,0.001176755057628758,9.0,0.7472144018302211,0.0008792883264867597
rwa,63,0.0005077778673329572,4.0,1.55814461804655,0.0007911913511480024
mortgage,100,0.0008059966148142178,8.0,0.8649974374866045,0.0006971850064371762
ead,47,0.0003788184089626824,4.0,1.55814461804655,0.0005902538651421605
pb,31,0.0002498589505924075,2.0,2.2512917986064953,0.0005625054062771126
buffer,43,0.00034657854437011366,4.0,1.55814461804655,0.0005400194936407
var,41,0.0003304586120738293,4.0,1.55814461804655,0.0005149023078899697
recognised,135,0.0010880954299991939,12.0,0.45953232937844013,0.000500015027533565
securitisation,44,0.0003546385105182558,5.0,1.33500106673234,0.0004734427898462397
introduction,338,0.0027242685580720558,16.0,0.17185025692665923,0.00046816625164190225
ibni,23,0.0001853792214072701,2.0,2.2512917986064953,0.00041734272078624483
depositary,79,0.000636737325703232,10.0,0.6418538861723947,0.0004086923269736373
clients,286,0.0023051503183686628,16.0,0.17185025692665923,0.000396140674466225
strategyand,21,0.00016925928911098572,2.0,2.2512917986064953,0.00038105204941352785
edtf,21,0.00016925928911098572,2.0,2.2512917986064953,0.00038105204941352785
andperformance,21,0.00016925928911098572,2.0,2.2512917986064953,0.00038105204941352785
clearing,41,0.0003304586120738293,6.0,1.1526795099383853,0.00038091287102018053
zoutendijk,20,0.00016119932296284356,2.0,2.2512917986064953,0.0003629067137271694
sme,39,0.00031433867977754485,6.0,1.1526795099383853,0.0003623317553606594
ect,24,0.00019343918755541223,3.0,1.8458266904983307,0.0003570552153780924
crd,33,0.0002659788828886919,5.0,1.33500106673234,0.0003550820923846798
derivativesrelated,19,0.00015313935681470137,2.0,2.2512917986064953,0.0003447613780408109
roobeek,19,0.00015313935681470137,2.0,2.2512917986064953,0.0003447613780408109
leadership,373,0.0030063673732570323,17.0,0.1112256351102244,0.0003343851204651705
ucr,18,0.00014507939066655919,2.0,2.2512917986064953,0.0003266160423544524
residential,74,0.0005964374949625213,11.0,0.5465437063680699,0.0003259791591137034
funding,720,0.005803175626662368,18.0,0.05406722127027579,0.00031376158067702564
dutch,222,0.0017893124848875636,16.0,0.17185025692665923,0.0003074938102500069
basel,38,0.0003062787136294028,7.0,0.9985288301111273,0.00030582812560830854
securitisations,24,0.00019343918755541223,4.0,1.55814461804655,0.00030140622900876274
