word,count,tf,document_count,idf,tf-idf
ing,2959,0.014889248945827088,13.0,0.3794896217049037,0.0056503154499220574
banking,611,0.0030744613402839977,12.0,0.45953232937844013,0.0014128143812846665
eur,754,0.003794016122052593,14.0,0.3053816495511819,0.0011586229017761993
lending,245,0.0012328036470860544,10.0,0.6418538861723947,0.0007912798117696854
nn,108,0.0005434399750420159,5.0,1.33500106673234,0.0007254929463860874
wholesale,243,0.001222739943844536,11.0,0.5465437063680699,0.0006682808208330784
esr,53,0.0002666881359002486,2.0,2.2512917986064953,0.0006003928131378841
recognised,224,0.0011271347630501072,12.0,0.45953232937844013,0.0005179548631878319
mortgages,88,0.00044280294262682784,7.0,0.9985288301111273,0.000442151504270931
nontrading,56,0.0002817836907625268,4.0,1.55814461804655,0.00043905974121492445
challengers,38,0.00019121036158885747,2.0,2.2512917986064953,0.00043047031885357724
revaluations,44,0.00022140147131341392,3.0,1.8458266904983307,0.0004086687450658999
bankingretail,35,0.00017611480672657926,2.0,2.2512917986064953,0.0003964858199967159
books,67,0.00033713405859088025,6.0,1.1526795099383853,0.00038860752144007473
groep,167,0.0008403192206668209,12.0,0.45953232937844013,0.00038615384889449964
pd,48,0.00024152887779645157,4.0,1.55814461804655,0.00037633692104136385
nonperforming,53,0.0002666881359002486,5.0,1.33500106673234,0.0003560289459116911
var,45,0.0002264333229341733,4.0,1.55814461804655,0.00035281586347627857
mbb,31,0.0001559874002435416,2.0,2.2512917986064953,0.00035117315485423407
cro,60,0.00030191109724556444,6.0,1.1526795099383853,0.00034800673561797744
outstandings,44,0.00022140147131341392,4.0,1.55814461804655,0.0003449755109545835
lgd,42,0.0002113377680718951,4.0,1.55814461804655,0.00032929480591119335
timmermans,29,0.0001459236970020228,2.0,2.2512917986064953,0.00032851682228299316
presettlement,29,0.0001459236970020228,2.0,2.2512917986064953,0.00032851682228299316
client,86,0.00043273923938530896,9.0,0.7472144018302211,0.00032334899190575853
crd,48,0.00024152887779645157,5.0,1.33500106673234,0.00032244130950492784
koos,28,0.0001408918453812634,2.0,2.2512917986064953,0.00031718865599737273
wwwingcomar,27,0.00013585999376050398,2.0,2.2512917986064953,0.00030586048971175224
branch,81,0.00040757998128151203,9.0,0.7472144018302211,0.00030454963191123773
