word,count,tf,document_count,idf,tf-idf
kpn,1060,0.02244811520542143,4.0,1.3217558399823195,0.029670927369361683
appendices,104,0.0022024565861922915,3.0,1.6094379124341003,0.0035447171303080566
eur,366,0.007750952986022872,10.0,0.4054651081081644,0.0031427409904190634
ibasis,35,0.0007412113511224058,1.0,2.70805020110221,0.002007237548466272
ict,64,0.0013553578991952562,5.0,1.0986122886681098,0.0014890128435993016
mbps,25,0.0005294366793731469,1.0,2.70805020110221,0.0014337411060473368
glance,86,0.0018212621770436253,7.0,0.7621400520468967,0.001388056850403073
handset,22,0.0004659042778483693,1.0,2.70805020110221,0.0012616921733216565
telefnica,22,0.0004659042778483693,1.0,2.70805020110221,0.0012616921733216565
jager,22,0.0004659042778483693,1.0,2.70805020110221,0.0012616921733216565
nps,44,0.0009318085556967386,4.0,1.3217558399823195,0.0012316234002376547
tefd,21,0.00044472681067344346,1.0,2.70805020110221,0.001204342529079763
traffic,41,0.0008682761541719611,4.0,1.3217558399823195,0.0011476490774941783
fixedmobile,20,0.00042354934349851756,1.0,2.70805020110221,0.0011469928848378695
blok,26,0.0005506141465480729,2.0,2.0149030205422647,0.0011094341070330132
zuiderwijk,19,0.0004023718763235917,1.0,2.70805020110221,0.001089643240595976
sickinghe,19,0.0004023718763235917,1.0,2.70805020110221,0.001089643240595976
lte,18,0.0003811944091486658,1.0,2.70805020110221,0.0010322935963540825
yony,17,0.00036001694197373995,1.0,2.70805020110221,0.0009749439521121891
jac,16,0.00033883947479881405,1.0,2.70805020110221,0.0009175943078702956
farwerck,16,0.00033883947479881405,1.0,2.70805020110221,0.0009175943078702956
csr,29,0.0006141465480728504,4.0,1.3217558399823195,0.0008117517865202724
getronics,14,0.0002964845404489623,1.0,2.70805020110221,0.0008028950193865087
postpaid,14,0.0002964845404489623,1.0,2.70805020110221,0.0008028950193865087
ppe,14,0.0002964845404489623,1.0,2.70805020110221,0.0008028950193865087
appendix,49,0.0010376958915713679,7.0,0.7621400520468967,0.0007908696008110532
hybrid,49,0.0010376958915713679,7.0,0.7621400520468967,0.0007908696008110532
telecommunications,18,0.0003811944091486658,2.0,2.0149030205422647,0.0007680697664074706
broadband,18,0.0003811944091486658,2.0,2.0149030205422647,0.0007680697664074706
iot,27,0.0005717916137229987,4.0,1.3217558399823195,0.0007557689046912881
voice,22,0.0004659042778483693,3.0,1.6094379124341003,0.0007498440083343966
mobile,114,0.0024142312579415503,11.0,0.31015492830383945,0.0007487857227157496
moreno,13,0.00027530707327403644,1.0,2.70805020110221,0.0007455453751446153
ct,25,0.0005294366793731469,4.0,1.3217558399823195,0.0006997860228623037
haank,12,0.0002541296060991105,1.0,2.70805020110221,0.0006881957309027215
mooiste,12,0.0002541296060991105,1.0,2.70805020110221,0.0006881957309027215
garca,12,0.0002541296060991105,1.0,2.70805020110221,0.0006881957309027215
reptrak,16,0.00033883947479881405,2.0,2.0149030205422647,0.000682728681251085
connectivity,34,0.0007200338839474799,6.0,0.9162907318741551,0.0006597603744964268
elderly,19,0.0004023718763235917,3.0,1.6094379124341003,0.0006475925526524334
incidentals,19,0.0004023718763235917,3.0,1.6094379124341003,0.0006475925526524334
sti,19,0.0004023718763235917,3.0,1.6094379124341003,0.0006475925526524334
telephony,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
bommel,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
countermeasures,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
elizondo,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
lora,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
hartman,11,0.00023295213892418463,1.0,2.70805020110221,0.0006308460866608282
lti,27,0.0005717916137229987,5.0,1.0986122886681098,0.0006281772933934554
x,95,0.0020118593816179585,11.0,0.31015492830383945,0.0006239881022631247
itv,10,0.00021177467174925878,1.0,2.70805020110221,0.0005734964424189348
eelco,13,0.00027530707327403644,2.0,2.0149030205422647,0.0005547170535165066
roaming,13,0.00027530707327403644,2.0,2.0149030205422647,0.0005547170535165066
fy,13,0.00027530707327403644,2.0,2.0149030205422647,0.0005547170535165066
wholesale,50,0.0010588733587462938,9.0,0.5108256237659907,0.0005408996439707652
nwlw,9,0.0001905972045743329,1.0,2.70805020110221,0.0005161467981770413
tbps,9,0.0001905972045743329,1.0,2.70805020110221,0.0005161467981770413
noi,9,0.0001905972045743329,1.0,2.70805020110221,0.0005161467981770413
ibarra,9,0.0001905972045743329,1.0,2.70805020110221,0.0005161467981770413
jc,9,0.0001905972045743329,1.0,2.70805020110221,0.0005161467981770413
networks,59,0.0012494705633206268,10.0,0.4054651081081644,0.000506616717034767
centers,25,0.0005294366793731469,6.0,0.9162907318741551,0.00048511792242384317
overbeek,14,0.0002964845404489623,3.0,1.6094379124341003,0.0004771734598491614
sap,11,0.00023295213892418463,2.0,2.0149030205422647,0.0004693759683601209
maximo,8,0.00016941973739940702,1.0,2.70805020110221,0.0004587971539351478
jfe,8,0.00016941973739940702,1.0,2.70805020110221,0.0004587971539351478
shortlist,8,0.00016941973739940702,1.0,2.70805020110221,0.0004587971539351478
handsets,8,0.00016941973739940702,1.0,2.70805020110221,0.0004587971539351478
fhm,8,0.00016941973739940702,1.0,2.70805020110221,0.0004587971539351478
deutschland,18,0.0003811944091486658,5.0,1.0986122886681098,0.00041878486226230356
bn,18,0.0003811944091486658,5.0,1.0986122886681098,0.00041878486226230356
internet,47,0.0009953409572215164,10.0,0.4054651081081644,0.00040357602882430595
itti,7,0.00014824227022448115,1.0,2.70805020110221,0.0004014475096932543
wifi,7,0.00014824227022448115,1.0,2.70805020110221,0.0004014475096932543
netflix,7,0.00014824227022448115,1.0,2.70805020110221,0.0004014475096932543
downtime,7,0.00014824227022448115,1.0,2.70805020110221,0.0004014475096932543
ebitda,60,0.0012706480304955528,11.0,0.31015492830383945,0.000394097748797763
subscriber,9,0.0001905972045743329,2.0,2.0149030205422647,0.0003840348832037353
manifesto,9,0.0001905972045743329,2.0,2.0149030205422647,0.0003840348832037353
perpetual,19,0.0004023718763235917,6.0,0.9162907318741551,0.0003686896210421209
provider,42,0.0008894536213468869,10.0,0.4054651081081644,0.00036064240873661383
capex,15,0.0003176620076238882,5.0,1.0986122886681098,0.00034898738521858634
telecom,15,0.0003176620076238882,5.0,1.0986122886681098,0.00034898738521858634
volte,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
eeio,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
qsight,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
rijksmuseum,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
klassecontact,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
soc,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
mvil,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
ltem,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
iptv,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
settop,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
wwwkpncomannualreport,6,0.00012706480304955527,1.0,2.70805020110221,0.0003440978654513609
acm,8,0.00016941973739940702,2.0,2.0149030205422647,0.0003413643406255425
fcf,8,0.00016941973739940702,2.0,2.0149030205422647,0.0003413643406255425
digitalization,10,0.00021177467174925878,3.0,1.6094379124341003,0.0003408381856065439
tv,21,0.00044472681067344346,7.0,0.7621400520468967,0.0003389441146333086
download,12,0.0002541296060991105,4.0,1.3217558399823195,0.00033589729097390576
mr,70,0.0014824227022448115,12.0,0.22314355131420976,0.0003307930663277146
coe,14,0.0002964845404489623,5.0,1.0986122886681098,0.00032572155953734724
supervisory,220,0.004659042778483694,14.0,0.06899287148695142,0.00032144073966813456
amortization,24,0.0005082592121982211,8.0,0.6286086594223741,0.0003194961420189957
ontarget,11,0.00023295213892418463,4.0,1.3217558399823195,0.0003079058500594136
fiber,11,0.00023295213892418463,4.0,1.3217558399823195,0.0003079058500594136
cloud,23,0.0004870817450232952,8.0,0.6286086594223741,0.00030618380276820425
k,23,0.0004870817450232952,8.0,0.6286086594223741,0.00030618380276820425
der,23,0.0004870817450232952,8.0,0.6286086594223741,0.00030618380276820425
gri,28,0.0005929690808979246,9.0,0.5108256237659907,0.0003029038006236285
operators,13,0.00027530707327403644,5.0,1.0986122886681098,0.0003024557338561082
workspace,7,0.00014824227022448115,2.0,2.0149030205422647,0.00029869379804734966
wireless,7,0.00014824227022448115,2.0,2.0149030205422647,0.00029869379804734966
bundles,7,0.00014824227022448115,2.0,2.0149030205422647,0.00029869379804734966
chronically,7,0.00014824227022448115,2.0,2.0149030205422647,0.00029869379804734966
employability,15,0.0003176620076238882,6.0,0.9162907318741551,0.00029107075345430593
profitloss,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
amrica,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
bgp,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
dsl,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
pue,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
modems,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
dearbytes,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
eplus,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
pam,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
dtas,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
itu,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
opexfte,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
fttc,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
wave,5,0.00010588733587462939,1.0,2.70805020110221,0.0002867482212094674
fvpl,10,0.00021177467174925878,4.0,1.3217558399823195,0.00027991440914492153
network,91,0.0019271495129182551,13.0,0.14310084364067324,0.0002757767211203148
simplification,17,0.00036001694197373995,7.0,0.7621400520468967,0.00027438333089363075
startups,14,0.0002964845404489623,6.0,0.9162907318741551,0.0002716660365573522
multi,14,0.0002964845404489623,6.0,0.9162907318741551,0.0002716660365573522
na,40,0.0008470986869970351,11.0,0.31015492830383945,0.00026273183253184196
recognized,85,0.0018000847098686996,13.0,0.14310084364067324,0.00025759364060688744
dj,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
boxes,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
subscribed,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
subscribers,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
cj,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
smartphones,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
psp,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
minute,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
carrier,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
virgin,6,0.00012706480304955527,2.0,2.0149030205422647,0.00025602325546915687
tsr,19,0.0004023718763235917,8.0,0.6286086594223741,0.0002529344457650383
ill,9,0.0001905972045743329,4.0,1.3217558399823195,0.0002519229682304294
citizen,9,0.0001905972045743329,4.0,1.3217558399823195,0.0002519229682304294
bylaws,9,0.0001905972045743329,4.0,1.3217558399823195,0.0002519229682304294
contents,83,0.0017577297755188481,13.0,0.14310084364067324,0.00025153261376907837
kpi,23,0.0004870817450232952,9.0,0.5108256237659907,0.00024881383622655205
ifrs,82,0.0017365523083439222,13.0,0.14310084364067324,0.0002485021003501738
digital,51,0.0010800508259212198,12.0,0.22314355131420976,0.00024100637689590635
tender,7,0.00014824227022448115,3.0,1.6094379124341003,0.0002385867299245807
ciso,7,0.00014824227022448115,3.0,1.6094379124341003,0.0002385867299245807
telecommunication,7,0.00014824227022448115,3.0,1.6094379124341003,0.0002385867299245807
fun,7,0.00014824227022448115,3.0,1.6094379124341003,0.0002385867299245807
dutch,163,0.003451927149512918,14.0,0.06899287148695142,0.0002381583662086633
hague,12,0.0002541296060991105,6.0,0.9162907318741551,0.0002328566027634447
ejc,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
telfort,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
cam,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
colocation,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
digitenne,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
beuningen,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
boijmans,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
sr,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
nldc,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
ith,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
cjg,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
amortizable,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
greenprint,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
joost,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
datacenter,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
climateneutral,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
solcon,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
pf,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
skating,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
kpncom,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
loneliness,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
spotify,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
ftth,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
mvnos,4,8.470986869970351e-05,1.0,2.70805020110221,0.0002293985769675739
labor,21,0.00044472681067344346,9.0,0.5108256237659907,0.00022717785046772143
simplify,21,0.00044472681067344346,9.0,0.5108256237659907,0.00022717785046772143
loyalty,17,0.00036001694197373995,8.0,0.6286086594223741,0.0002263097672634553
children,14,0.0002964845404489623,7.0,0.7621400520468967,0.00022596274308887238
labs,8,0.00016941973739940702,4.0,1.3217558399823195,0.00022393152731593722
dw,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
sim,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
coemissions,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
normalized,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
idle,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
highspeed,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
runrate,5,0.00010588733587462939,2.0,2.0149030205422647,0.00021335271289096405
nonfinancial,45,0.0009529860228716647,12.0,0.22314355131420976,0.000212652685496388
capitals,9,0.0001905972045743329,5.0,1.0986122886681098,0.00020939243113115178
oci,19,0.0004023718763235917,9.0,0.5108256237659907,0.0002055418647088908
nationwide,6,0.00012706480304955527,3.0,1.6094379124341003,0.00020450291136392632
upgrade,7,0.00014824227022448115,4.0,1.3217558399823195,0.00019594008640144508
cooling,7,0.00014824227022448115,4.0,1.3217558399823195,0.00019594008640144508
anniversary,7,0.00014824227022448115,4.0,1.3217558399823195,0.00019594008640144508
income,134,0.002837780601440068,14.0,0.06899287148695142,0.00019578663234331834
cars,18,0.0003811944091486658,9.0,0.5108256237659907,0.0001947238718294755
circular,41,0.0008682761541719611,12.0,0.22314355131420976,0.0001937502245633757
fonds,12,0.0002541296060991105,7.0,0.7621400520468967,0.00019368235121903344
promoter,12,0.0002541296060991105,7.0,0.7621400520468967,0.00019368235121903344
ey,12,0.0002541296060991105,7.0,0.7621400520468967,0.00019368235121903344
avoided,14,0.0002964845404489623,8.0,0.6286086594223741,0.00018637274951108083
subscription,11,0.00023295213892418463,7.0,0.7621400520468967,0.00017754215528411398
mrs,11,0.00023295213892418463,7.0,0.7621400520468967,0.00017754215528411398
household,11,0.00023295213892418463,7.0,0.7621400520468967,0.00017754215528411398
incl,9,0.0001905972045743329,6.0,0.9162907318741551,0.00017464245207258355
connect,16,0.00033883947479881405,9.0,0.5108256237659907,0.00017308788607064488
divider,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
soho,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
tno,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
rfr,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
cert,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
prosperous,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
singleplay,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
medizon,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
telekom,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
kpnmcf,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
incountry,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
sixmonths,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
ott,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
voicemail,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
lifespan,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
inhome,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
bom,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
teleworking,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
classmate,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
zilverlijn,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
roam,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
edzard,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
wba,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
eredivisie,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
gesi,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
calculator,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
fuelfree,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
xsall,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
intercept,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
simonly,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
quantum,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
arpu,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
resp,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
duco,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
ecent,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
fixedtofloating,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
mhz,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
routing,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
svg,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
infected,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
iterative,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
dtls,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
vula,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
marketmedian,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
claudia,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
pj,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
auctions,3,6.353240152477762e-05,1.0,2.70805020110221,0.00017204893272568039
netherlands,117,0.002477763659466328,14.0,0.06899287148695142,0.00017094802973259882
ehealth,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
additionsreleases,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
band,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
music,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
bcf,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
scaleups,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
dilligence,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
keen,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
excl,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
emphasize,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
migrating,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
jcm,4,8.470986869970351e-05,2.0,2.0149030205422647,0.00017068217031277125
shops,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
dta,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
billing,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
vbdo,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
eurobonds,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
convergence,5,0.00010588733587462939,3.0,1.6094379124341003,0.00017041909280327195
sme,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
simplicity,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
sponsorship,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
swapped,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
engineers,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
debtebitda,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
cables,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
containers,6,0.00012706480304955527,4.0,1.3217558399823195,0.0001679486454869529
