word,count,tf,document_count,idf,tf-idf
philips,1513,0.011651816312542838,8.0,0.8649974374866045,0.010078791252414171
diagnosis,141,0.001085859947170218,1.0,2.9444389791664403,0.003197248354363601
eur,1072,0.008255616052244496,14.0,0.3053816495511819,0.0025211136480956403
informatics,129,0.0009934463346450931,2.0,2.2512917986064953,0.002236537585542182
ebita,79,0.000608389615790406,2.0,2.2512917986064953,0.0013696625523862977
lighting,197,0.001517123472287468,8.0,0.8649974374866045,0.0013123079158794395
healthtech,56,0.0004312635251172498,1.0,2.9444389791664403,0.0012698291336479554
nonifrs,95,0.0007316077658239058,4.0,1.55814461804655,0.0011399507028395795
lumileds,50,0.0003850567188546873,1.0,2.9444389791664403,0.0011337760121856745
patient,61,0.0004697691970027185,2.0,2.2512917986064953,0.0010575875404501792
spectranetics,37,0.0002849419719524686,1.0,2.9444389791664403,0.0008389942490173991
imaging,36,0.00027724083757537483,1.0,2.9444389791664403,0.0008163187287736855
clinical,48,0.0003696544501004998,3.0,1.8458266904983307,0.0006823180502569859
sleep,30,0.0002310340313128124,1.0,2.9444389791664403,0.0006802656073114047
definedbenefit,28,0.0002156317625586249,1.0,2.9444389791664403,0.0006349145668239777
respiratory,35,0.0002695397031982811,2.0,2.2512917986064953,0.0006068125232091191
substances,42,0.0003234476438379373,3.0,1.8458266904983307,0.0005970282939748627
therapy,32,0.0002464363000669999,2.0,2.2512917986064953,0.0005548000212197661
imageguided,24,0.0001848272250502499,1.0,2.9444389791664403,0.0005442124858491237
ginneken,20,0.0001540226875418749,1.0,2.9444389791664403,0.00045351040487426976
acquisitionrelated,49,0.0003773555844775936,6.0,1.1526795099383853,0.00043497005018814554
bhattacharya,19,0.00014632155316478116,1.0,2.9444389791664403,0.00043083488463055626
masimo,19,0.00014632155316478116,1.0,2.9444389791664403,0.00043083488463055626
diagnostic,19,0.00014632155316478116,1.0,2.9444389791664403,0.00043083488463055626
pathology,18,0.00013862041878768741,1.0,2.9444389791664403,0.00040815936438684275
ultrasound,17,0.0001309192844105937,1.0,2.9444389791664403,0.00038548384414312936
crt,16,0.00012321815003349995,1.0,2.9444389791664403,0.00036280832389941586
subsection,58,0.0004466657938714373,9.0,0.7472144018302211,0.00033375511398566686
