word,count,tf,document_count,idf,tf-idf
tencate,196,0.03441011235955056,1.0,2.70805020110221,0.09318431169523055
fabrics,46,0.008075842696629214,1.0,2.70805020110221,0.02186978743867656
grass,31,0.005442415730337079,1.0,2.70805020110221,0.014738335013021159
armor,30,0.00526685393258427,1.0,2.70805020110221,0.0142629048513108
composites,26,0.0045646067415730344,1.0,2.70805020110221,0.01236118420446936
geosynthetics,15,0.002633426966292135,1.0,2.70805020110221,0.0071314524256554
turf,16,0.002808988764044944,2.0,2.0149030205422647,0.0056598399453434405
survivability,9,0.0015800561797752806,1.0,2.70805020110221,0.004278871455393239
outdoor,14,0.0024578651685393253,3.0,1.6094379124341003,0.00395578138589842
landscaping,8,0.001404494382022472,1.0,2.70805020110221,0.00380344129368288
thermoplastic,8,0.001404494382022472,1.0,2.70805020110221,0.00380344129368288
protective,28,0.004915730337078652,7.0,0.7621400520468967,0.0037464749749496332
aerospace,12,0.002106741573033708,3.0,1.6094379124341003,0.003390669759341503
yarn,7,0.0012289325842696627,1.0,2.70805020110221,0.003328011131972519
synthetic,8,0.001404494382022472,2.0,2.0149030205422647,0.0028299199726717203
composite,12,0.002106741573033708,4.0,1.3217558399823195,0.0027845979774908415
sports,11,0.0019311797752808988,4.0,1.3217558399823195,0.0025525481460332714
highperformance,9,0.0015800561797752806,3.0,1.6094379124341003,0.0025430023195061272
aircraft,7,0.0012289325842696627,2.0,2.0149030205422647,0.0024761799760877547
engineered,5,0.0008778089887640449,1.0,2.70805020110221,0.0023771508085517995
toray,5,0.0008778089887640449,1.0,2.70805020110221,0.0023771508085517995
thermoset,5,0.0008778089887640449,1.0,2.70805020110221,0.0023771508085517995
mitt,5,0.0008778089887640449,1.0,2.70805020110221,0.0023771508085517995
oems,5,0.0008778089887640449,1.0,2.70805020110221,0.0023771508085517995
downstream,10,0.0017556179775280898,4.0,1.3217558399823195,0.0023204983145757013
tennessee,8,0.001404494382022472,3.0,1.6094379124341003,0.0022604465062276693
garment,6,0.001053370786516854,2.0,2.0149030205422647,0.00212243997950379
niche,6,0.001053370786516854,2.0,2.0149030205422647,0.00212243997950379
textile,6,0.001053370786516854,2.0,2.0149030205422647,0.00212243997950379
almelo,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
geosynthetic,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
workwear,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
sgw,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
cate,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
hovers,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
tcg,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
greenfields,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
wear,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
tent,4,0.0007022471910112358,1.0,2.70805020110221,0.0019017206468414393
usa,20,0.00351123595505618,9.0,0.5108256237659907,0.0017936292969311473
sport,5,0.0008778089887640449,2.0,2.0149030205422647,0.001768699982919825
productmarket,5,0.0008778089887640449,2.0,2.0149030205422647,0.001768699982919825
carpet,5,0.0008778089887640449,2.0,2.0149030205422647,0.001768699982919825
resin,5,0.0008778089887640449,2.0,2.0149030205422647,0.001768699982919825
kilotonnes,7,0.0012289325842696627,4.0,1.3217558399823195,0.0016243488202029907
military,7,0.0012289325842696627,4.0,1.3217558399823195,0.0016243488202029907
westerink,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
spaan,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
albers,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
nijverdal,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
footwear,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
finishing,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
molenaar,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
fred,3,0.000526685393258427,1.0,2.70805020110221,0.0014262904851310796
police,4,0.0007022471910112358,2.0,2.0149030205422647,0.0014149599863358597
fibers,4,0.0007022471910112358,2.0,2.0149030205422647,0.0014149599863358597
lightweight,4,0.0007022471910112358,2.0,2.0149030205422647,0.0014149599863358597
leisure,5,0.0008778089887640449,3.0,1.6094379124341003,0.001412779066392293
passive,6,0.001053370786516854,4.0,1.3217558399823195,0.0013922989887454208
manufacturers,9,0.0015800561797752806,7.0,0.7621400520468967,0.0012042240990909532
decentralized,5,0.0008778089887640449,4.0,1.3217558399823195,0.0011602491572878506
fiber,5,0.0008778089887640449,4.0,1.3217558399823195,0.0011602491572878506
sun,4,0.0007022471910112358,3.0,1.6094379124341003,0.0011302232531138342
houten,4,0.0007022471910112358,3.0,1.6094379124341003,0.0011302232531138342
upstream,8,0.001404494382022472,7.0,0.7621400520468967,0.001070421421414181
blends,3,0.000526685393258427,2.0,2.0149030205422647,0.001061219989751895
pitch,3,0.000526685393258427,2.0,2.0149030205422647,0.001061219989751895
defense,6,0.001053370786516854,6.0,0.9162907318741551,0.0009651938889123824
boudewijn,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
shields,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
plates,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
twente,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
niches,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
transferrelated,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
unidirectional,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
hockey,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
radomes,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
tapes,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
awning,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
subbase,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
soils,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
wovens,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
installers,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
opsa,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
radome,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
awnings,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
abds,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
defenserelated,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
nonwovens,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
revamped,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
prepregs,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
yarns,2,0.000351123595505618,1.0,2.70805020110221,0.00095086032342072
engineering,7,0.0012289325842696627,7.0,0.7621400520468967,0.000936618743737408
enhancement,7,0.0012289325842696627,7.0,0.7621400520468967,0.000936618743737408
cubic,4,0.0007022471910112358,4.0,1.3217558399823195,0.0009281993258302804
california,4,0.0007022471910112358,4.0,1.3217558399823195,0.0009281993258302804
backing,3,0.000526685393258427,3.0,1.6094379124341003,0.0008476674398353758
satellite,3,0.000526685393258427,3.0,1.6094379124341003,0.0008476674398353758
fr,4,0.0007022471910112358,5.0,1.0986122886681098,0.000771497393727605
highend,4,0.0007022471910112358,5.0,1.0986122886681098,0.000771497393727605
rtl,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
soccer,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
blending,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
football,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
drainage,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
tents,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
csc,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
kits,2,0.000351123595505618,2.0,2.0149030205422647,0.0007074799931679301
entrepreneurship,3,0.000526685393258427,4.0,1.3217558399823195,0.0006961494943727104
centralized,5,0.0008778089887640449,7.0,0.7621400520468967,0.0006690133883838629
qualifications,4,0.0007022471910112358,6.0,0.9162907318741551,0.0006434625926082549
automotive,4,0.0007022471910112358,6.0,0.9162907318741551,0.0006434625926082549
longstanding,4,0.0007022471910112358,6.0,0.9162907318741551,0.0006434625926082549
meters,4,0.0007022471910112358,6.0,0.9162907318741551,0.0006434625926082549
applications,24,0.004213483146067416,13.0,0.14310084364067324,0.0006029529928680052
plenary,3,0.000526685393258427,5.0,1.0986122886681098,0.0005786230452957038
produces,3,0.000526685393258427,5.0,1.0986122886681098,0.0005786230452957038
producers,3,0.000526685393258427,5.0,1.0986122886681098,0.0005786230452957038
reinforced,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
clothing,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
marine,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
appearance,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
energyintensive,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
wastewater,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
filtration,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
laundry,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
grids,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
erik,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
presently,2,0.000351123595505618,3.0,1.6094379124341003,0.0005651116265569173
industrial,14,0.0024578651685393253,12.0,0.22314355131420976,0.0005484567623593638
organic,6,0.001053370786516854,9.0,0.5108256237659907,0.0005380887890793441
supervisory,43,0.007549157303370788,14.0,0.06899287148695142,0.0005208380396662415
advanced,43,0.007549157303370788,14.0,0.06899287148695142,0.0005208380396662415
frank,3,0.000526685393258427,6.0,0.9162907318741551,0.0004825969444561912
onetime,3,0.000526685393258427,6.0,0.9162907318741551,0.0004825969444561912
occupied,3,0.000526685393258427,6.0,0.9162907318741551,0.0004825969444561912
devoted,3,0.000526685393258427,6.0,0.9162907318741551,0.0004825969444561912
dominant,3,0.000526685393258427,6.0,0.9162907318741551,0.0004825969444561912
modint,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
geotube,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
littauer,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
cosmetic,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
downsized,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
satisfies,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
decoration,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
winter,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
steen,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
scoped,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
carbonfree,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
scott,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
laundries,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
weaving,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
orthotic,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
aramid,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
pavimentos,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
oem,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
tufting,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
handed,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
fifa,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
sludge,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
unmanned,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
gardening,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
extrusion,1,0.00017556179775280898,1.0,2.70805020110221,0.0004754301617103599
