word,count,tf,document_count,idf,tf-idf
deere,136,0.0036824434095093688,2.0,2.2512917986064953,0.008290254646660982
wirtgen,58,0.0015704538069966426,1.0,2.9444389791664403,0.004624105404301244
asu,73,0.001976605653633705,2.0,2.2512917986064953,0.004449916097104791
turf,57,0.0015433770172208385,2.0,2.2512917986064953,0.0034745920210270294
opeb,40,0.0010830715910321671,1.0,2.9444389791664403,0.0031890382098629265
percent,167,0.004521823892559298,11.0,0.5465437063680699,0.002471374389783052
forestry,60,0.0016246073865482508,6.0,1.1526795099383853,0.0018726516461687187
siteone,22,0.000595689375067692,1.0,2.9444389791664403,0.0017539710154246097
fasb,24,0.0006498429546193004,2.0,2.2512917986064953,0.0014629861141166438
securitized,18,0.00048738221596447527,1.0,2.9444389791664403,0.0014350671944383172
luwjhq,17,0.0004603054261886711,1.0,2.9444389791664403,0.001355341239191744
foxglqj,16,0.00043322863641286687,1.0,2.9444389791664403,0.0012756152839451707
stockholders,27,0.0007310733239467129,4.0,1.55814461804655,0.0011391179651049728
dollars,84,0.002274450341167551,12.0,0.45953232937844013,0.0010451834633323127
securitization,32,0.0008664572728257337,6.0,1.1526795099383853,0.0009987475446233166
asc,23,0.0006227661648434961,4.0,1.55814461804655,0.000970359748052384
warranty,31,0.0008393804830499296,6.0,1.1526795099383853,0.000967536683853838
spes,19,0.0005144590057402794,3.0,1.8458266904983307,0.0009496021639626418
loaders,11,0.000297844687533846,1.0,2.9444389791664403,0.0008769855077123049
securitizations,14,0.00037907505686125847,2.0,2.2512917986064953,0.0008534085665680421
amends,17,0.0004603054261886711,3.0,1.8458266904983307,0.0008496440414402584
unrealized,35,0.0009476876421531463,8.0,0.8649974374866045,0.0008197473820001939
agriculture,55,0.00148922343766923,11.0,0.5465437063680699,0.0008139256972339394
marketable,26,0.0007039965341709088,6.0,1.1526795099383853,0.0008114823800064449
unconsolidated,40,0.0010830715910321671,9.0,0.7472144018302211,0.0008092866910324066
dealers,25,0.0006769197443951045,7.0,0.9985288301111273,0.000675923880449967
weightedaverage,13,0.00035199826708545435,3.0,1.8458266904983307,0.0006497277963954917
conduits,8,0.00021661431820643344,1.0,2.9444389791664403,0.0006378076419725853
amortization,36,0.0009747644319289504,10.0,0.6418538861723947,0.0006256563387362236
shipment,19,0.0005144590057402794,6.0,1.1526795099383853,0.0005930063546200942
john,25,0.0006769197443951045,8.0,0.8649974374866045,0.0005855338442858527
river,7,0.00018953752843062926,1.0,2.9444389791664403,0.0005580816867260122
affiliates,31,0.0008393804830499296,10.0,0.6418538861723947,0.0005387596250228592
sva,8,0.00021661431820643344,2.0,2.2512917986064953,0.0004876620380388812
marketservice,6,0.0001624607386548251,1.0,2.9444389791664403,0.00047835573147943906
settlementscurtailments,6,0.0001624607386548251,1.0,2.9444389791664403,0.00047835573147943906
lifo,6,0.0001624607386548251,1.0,2.9444389791664403,0.00047835573147943906
performanceservice,6,0.0001624607386548251,1.0,2.9444389791664403,0.00047835573147943906
hief,6,0.0001624607386548251,1.0,2.9444389791664403,0.00047835573147943906
favorable,19,0.0005144590057402794,8.0,0.8649974374866045,0.00044500572165724806
mm,14,0.00037907505686125847,6.0,1.1526795099383853,0.000436952050772701
income,295,0.007987652983862233,18.0,0.05406722127027579,0.000431870201308658
tractors,7,0.00018953752843062926,2.0,2.2512917986064953,0.0004267042832840211
troubled,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
shudwlqjsurw,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
ffa,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
oroa,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
forage,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
modifiedretrospective,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
sprayers,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
samuel,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
xecutivefcer,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
unrestrictedsecuritized,5,0.0001353839488790209,1.0,2.9444389791664403,0.0003986297762328658
repatriation,11,0.000297844687533846,5.0,1.33500106673234,0.0003976229755782449
vies,6,0.0001624607386548251,2.0,2.2512917986064953,0.00036574652852916094
precision,6,0.0001624607386548251,2.0,2.2512917986064953,0.00036574652852916094
farm,10,0.0002707678977580418,5.0,1.33500106673234,0.00036147543234385895
retail,74,0.0020036824434095093,16.0,0.17185025692665923,0.00034433334269936053
postretirement,17,0.0004603054261886711,9.0,0.7472144018302211,0.0003439468436887729
collections,8,0.00021661431820643344,4.0,1.55814461804655,0.00033751643410517704
expiring,9,0.00024369110798223763,5.0,1.33500106673234,0.0003253278891094731
dealer,16,0.00043322863641286687,9.0,0.7472144018302211,0.00032371467641296265
shudwlqjsurwh,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
cab,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
harvesters,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
xuv,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
klhi,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
equityventure,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
weightedaverages,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
std,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
employeeseparation,4,0.00010830715910321672,1.0,2.9444389791664403,0.00031890382098629267
wholesale,21,0.0005686125852918878,11.0,0.5465437063680699,0.00031077162985295863
canada,30,0.0008123036932741254,13.0,0.3794896217049037,0.00030826082127009396
allen,5,0.0001353839488790209,2.0,2.2512917986064953,0.0003047887737743008
pla,5,0.0001353839488790209,2.0,2.2512917986064953,0.0003047887737743008
crop,5,0.0001353839488790209,2.0,2.2512917986064953,0.0003047887737743008
