word,count,tf,document_count,idf,tf-idf
xpo,443,0.003718657925442168,1.0,2.9444389791664403,0.01094936134585813
jacobs,119,0.00099891714024293,2.0,2.2512917986064953,0.0022488539653163627
registrant,112,0.000940157308463934,2.0,2.2512917986064953,0.0021165684379448116
stockholder,110,0.0009233687850985066,2.0,2.2512917986064953,0.0020787725729815116
stockholders,152,0.0012759277757724821,4.0,1.55814461804655,0.001988079996835998
neos,79,0.000663146672934382,1.0,2.9444389791664403,0.001952594912692533
neo,74,0.0006211753645208137,1.0,2.9444389791664403,0.001829012956193006
prsus,74,0.0006211753645208137,1.0,2.9444389791664403,0.001829012956193006
ltl,64,0.0005372327476936766,1.0,2.9444389791664403,0.001581849043193951
wagers,62,0.0005204442243282492,1.0,2.9444389791664403,0.00153241626059414
glickman,61,0.0005120499626455355,1.0,2.9444389791664403,0.0015076998692942346
harik,56,0.000470078654231967,1.0,2.9444389791664403,0.001384117912794707
cooper,64,0.0005372327476936766,2.0,2.2512917986064953,0.0012094676788256067
sar,63,0.0005288384860109629,2.0,2.2512917986064953,0.0011905697463439567
jesselson,47,0.00039453029908754377,1.0,2.9444389791664403,0.0011616703910955577
logistics,353,0.0029631743739979353,13.0,0.3794896217049037,0.0011244939222341413
rsus,68,0.0005708097944245314,3.0,1.8458266904983307,0.0010536159537466653
truckload,37,0.00031058768226040683,1.0,2.9444389791664403,0.000914506478096503
freight,75,0.0006295696262035273,5.0,1.33500106673234,0.0008404761225639894
aoci,34,0.0002854048972122657,1.0,2.9444389791664403,0.0008403573041967864
bradley,33,0.000277010635529552,1.0,2.9444389791664403,0.000815640912896881
papastavrou,32,0.0002686163738468383,1.0,2.9444389791664403,0.0007909245215969755
hardig,32,0.0002686163738468383,1.0,2.9444389791664403,0.0007909245215969755
exhibit,70,0.0005875983177899588,5.0,1.33500106673234,0.0007844443810597235
sars,31,0.0002602221121641246,1.0,2.9444389791664403,0.00076620813029707
apr,91,0.0007638778131269465,7.0,0.9985288301111273,0.0007627540190894962
prsu,30,0.00025182785048141087,1.0,2.9444389791664403,0.0007414917389971644
nonqualified,30,0.00025182785048141087,1.0,2.9444389791664403,0.0007414917389971644
ashe,26,0.00021825080375055607,1.0,2.9444389791664403,0.0006426261737975424
mile,49,0.0004113188224529712,4.0,1.55814461804655,0.0006408942095063416
herein,74,0.0006211753645208137,7.0,0.9985288301111273,0.0006202615100288211
carriers,47,0.00039453029908754377,4.0,1.55814461804655,0.000614735262179552
abl,32,0.0002686163738468383,2.0,2.2512917986064953,0.0006047338394128034
kingshott,24,0.00020146228038512876,1.0,2.9444389791664403,0.0005931933911977316
omnibus,38,0.00031898194394312053,3.0,1.8458266904983307,0.0005887853859172542
shaffer,23,0.00019306801870241504,1.0,2.9444389791664403,0.0005684769998978262
asu,30,0.00025182785048141087,2.0,2.2512917986064953,0.0005669379744495031
equitybased,30,0.00025182785048141087,2.0,2.2512917986064953,0.0005669379744495031
sec,76,0.0006379638878862411,8.0,0.8649974374866045,0.00055183712823059
colucci,22,0.00018467375701970132,1.0,2.9444389791664403,0.0005437606085979206
desalva,22,0.00018467375701970132,1.0,2.9444389791664403,0.0005437606085979206
participant,139,0.0011668023738972038,12.0,0.45953232937844013,0.0005361834128012757
weightedaverage,31,0.0002602221121641246,3.0,1.8458266904983307,0.00048032492009039154
sarah,19,0.00015949097197156024,1.0,2.9444389791664403,0.0004696114346982042
js,19,0.00015949097197156024,1.0,2.9444389791664403,0.0004696114346982042
dated,56,0.000470078654231967,7.0,0.9985288301111273,0.00046938708867045914
beneficially,35,0.0002937991588949794,4.0,1.55814461804655,0.0004577815782188153
nominee,34,0.0002854048972122657,4.0,1.55814461804655,0.0004447021045554206
k,96,0.0008058491215405148,11.0,0.5465437063680699,0.0004404317656602062
awards,305,0.002560249813227677,16.0,0.17185025692665923,0.00043997958819960763
jpe,17,0.00014270244860613285,1.0,2.9444389791664403,0.0004201786520983932
rsu,17,0.00014270244860613285,1.0,2.9444389791664403,0.0004201786520983932
conway,17,0.00014270244860613285,1.0,2.9444389791664403,0.0004201786520983932
owneroperators,17,0.00014270244860613285,1.0,2.9444389791664403,0.0004201786520983932
troy,17,0.00014270244860613285,1.0,2.9444389791664403,0.0004201786520983932
issuable,26,0.00021825080375055607,3.0,1.8458266904983307,0.0004028531587854896
mr,277,0.002325210486111694,16.0,0.17185025692665923,0.00039958801944685687
intermodal,16,0.00013430818692341916,1.0,2.9444389791664403,0.00039546226079848775
mario,16,0.00013430818692341916,1.0,2.9444389791664403,0.00039546226079848775
transportation,199,0.0016704580748600256,15.0,0.23638877806423034,0.0003948775431236881
harassment,47,0.00039453029908754377,7.0,0.9985288301111273,0.0003939498779912782
stockbased,20,0.00016788523365427393,2.0,2.2512917986064953,0.0003779586496330021
brossy,15,0.00012591392524070546,1.0,2.9444389791664403,0.00037074586949858225
semler,15,0.00012591392524070546,1.0,2.9444389791664403,0.00037074586949858225
brokerage,38,0.00031898194394312053,6.0,1.1526795099383853,0.00036768395082354967
greenwich,19,0.00015949097197156024,2.0,2.2512917986064953,0.000359060717151352
sg,14,0.00011751966355799175,1.0,2.9444389791664403,0.00034602947819867676
kenneth,14,0.00011751966355799175,1.0,2.9444389791664403,0.00034602947819867676
award,364,0.003055511252507786,17.0,0.1112256351102244,0.00033985117964661574
performancebased,53,0.0004448958691838259,9.0,0.7472144018302211,0.00033243260076892876
extinguishment,25,0.00020985654206784243,4.0,1.55814461804655,0.00032698684158486807
annamaria,13,0.00010912540187527806,1.0,2.9444389791664403,0.00032131308689877126
gena,13,0.00010912540187527806,1.0,2.9444389791664403,0.00032131308689877126
jason,13,0.00010912540187527806,1.0,2.9444389791664403,0.00032131308689877126
nonemployee,17,0.00014270244860613285,2.0,2.2512917986064953,0.00032126485218805177
securitization,33,0.000277010635529552,6.0,1.1526795099383853,0.0003193044836099247
shall,215,0.001804766261783445,16.0,0.17185025692665923,0.0003101495457800513
incentive,155,0.001301110560820623,15.0,0.23638877806423034,0.00030756793559885253
