word,count,tf
board,639,0.007333279777821132
financial,531,0.006093852209738688
performance,530,0.006082376028552739
management,492,0.005646281143486693
akzonobel,485,0.005565947875185054
business,483,0.005542995512813156
supervisory,369,0.00423471085761502
committee,331,0.0037986159725489745
million,320,0.0036723779795035404
sustainability,319,0.003660901798317592
company,314,0.003603520892387849
report,309,0.0035461399864581064
information,305,0.003500235261714312
statements,296,0.003396949631040775
compliance,275,0.003155949826135855
value,261,0.002995283289532575
total,258,0.0029608547459747296
operations,240,0.0027542834846276554
chemicals,232,0.002662474035140067
income,231,0.0026509978539541183
audit,229,0.002628045491582221
assets,213,0.002444426592607044
note,206,0.002364093324305404
coatings,202,0.0023181885995616097
l,193,0.002214902968888073
specialty,192,0.002203426787702124
governance,186,0.002134569700586433
new,185,0.0021230935194004844
risk,184,0.002111617338214536
cash,184,0.002111617338214536
shares,183,0.002100141157028587
per,180,0.0020657126134707416
strategic,180,0.0020657126134707416
tax,177,0.0020312840699128957
members,175,0.002008331707540999
year,166,0.0019050460768674615
share,164,0.0018820937144955645
also,163,0.0018706175333096159
executive,158,0.001813236627379873
leadership,153,0.0017558557214501303
including,150,0.0017214271778922847
revenue,144,0.0016525700907765932
paints,139,0.0015951891848468504
remuneration,134,0.0015378082789171076
held,131,0.0015033797353592618
capital,130,0.0014919035541733133
net,125,0.0014345226482435705
liabilities,124,0.0014230464670576218
shareholders,119,0.001365665561127879
employees,118,0.0013541893799419306
internal,118,0.0013541893799419306
plan,117,0.0013427131987559819
corporate,117,0.0013427131987559819
key,114,0.0013082846551981362
discontinued,113,0.0012968084740121878
growth,111,0.0012738561116402906
group,109,0.0012509037492683935
benefits,106,0.0012164752057105478
related,106,0.0012164752057105478
number,106,0.0012164752057105478
material,105,0.0012049990245245991
millions,105,0.0012049990245245991
impact,103,0.001182046662152702
products,102,0.0011705704809667535
code,102,0.0011705704809667535
us,102,0.0011705704809667535
risks,102,0.0011705704809667535
operating,99,0.001136141937408908
based,98,0.0011246657562229592
costs,96,0.001101713393851062
dividend,95,0.0010902372126651136
due,94,0.0010787610314791649
plans,94,0.0010787610314791649
customers,94,0.0010787610314791649
process,93,0.0010672848502932164
changes,92,0.001055808669107268
control,91,0.0010443324879213193
cost,91,0.0010443324879213193
statement,90,0.0010328563067353708
yearend,90,0.0010328563067353708
review,90,0.0010328563067353708
strategy,89,0.001021380125549422
provisions,89,0.001021380125549422
energy,89,0.001021380125549422
product,89,0.001021380125549422
level,89,0.001021380125549422
period,88,0.0010099039443634736
