word,count,tf
heijmans,1205,0.013774262133924693
board,712,0.008138817128094923
report,644,0.007361514368670126
financial,566,0.006469902379918155
executive,496,0.005669737774627924
statements,375,0.004286596099769095
annual,341,0.0038979447200566974
million,332,0.003795066413662239
strategy,328,0.0037493427219313685
corporate,324,0.0037036190302004984
profile,301,0.003440707802747994
company,287,0.0032806748816899475
also,272,0.003109211037699184
appendices,261,0.0029834708854392902
goverance,253,0.00289202350197755
projects,245,0.002800576118515809
management,239,0.0027319905809195036
tax,231,0.002640543197457763
assets,217,0.0024805102763997165
shares,208,0.0023776319700052582
result,201,0.0022976155094762353
project,197,0.0022518918177453647
group,197,0.0022518918177453647
development,195,0.0022290299718799294
reporting,188,0.0021490135113509065
year,188,0.0021490135113509065
recognised,174,0.00198898059029286
business,173,0.0019775496673601427
value,172,0.001966118744427425
share,169,0.0019318259756292723
risk,168,0.0019203950526965547
supervisory,164,0.0018746713609656843
number,164,0.0018746713609656843
total,161,0.0018403785921675315
capital,158,0.0018060858233693788
building,155,0.001771793054571226
cash,155,0.001771793054571226
statement,150,0.0017146384399076382
financing,149,0.0017032075169749205
property,148,0.0016917765940422029
liabilities,143,0.001634621979378615
costs,142,0.0016231910564458974
x,140,0.0016003292105804623
employees,135,0.0015431745959168742
operations,133,0.0015203127500514392
years,133,0.0015203127500514392
revenue,131,0.001497450904186004
policy,131,0.001497450904186004
construction,123,0.0014060035207242633
risks,122,0.0013945725977915456
market,121,0.0013831416748588282
december,121,0.0013831416748588282
safety,119,0.0013602798289933929
joint,118,0.0013488489060606754
including,118,0.0013488489060606754
residential,118,0.0013488489060606754
information,117,0.0013374179831279578
income,115,0.0013145561372625227
interest,115,0.0013145561372625227
amount,114,0.001303125214329805
loss,112,0.0012802633684643697
basis,110,0.0012574015225989346
net,108,0.0012345396767334995
activities,107,0.0012231087538007819
profit,105,0.0012002469079353468
operating,104,0.0011888159850026291
organisation,104,0.0011888159850026291
results,104,0.0011888159850026291
dutch,103,0.0011773850620699115
remuneration,103,0.0011773850620699115
land,102,0.001165954139137194
new,101,0.0011545232162044764
work,100,0.0011430922932717587
based,99,0.001131661370339041
sustainability,97,0.001108799524473606
procurement,96,0.0010973686015408883
plan,95,0.0010859376786081709
audit,93,0.0010630758327427356
nv,93,0.0010630758327427356
impact,91,0.0010402139868773005
members,89,0.0010173521410118654
sale,89,0.0010173521410118654
focus,87,0.00099449029514643
respect,86,0.0009830593722137124
meeting,86,0.0009830593722137124
period,84,0.0009601975263482773
progress,83,0.0009487666034155598
part,82,0.0009373356804828421
average,81,0.0009259047575501246
ebitda,80,0.000914473834617407
mr,80,0.000914473834617407
used,79,0.0009030429116846894
segment,78,0.0008916119887519718
pension,76,0.0008687501428865366
performance,76,0.0008687501428865366
current,76,0.0008687501428865366
level,76,0.0008687501428865366
sustainable,75,0.0008573192199538191
balance,75,0.0008573192199538191
control,75,0.0008573192199538191
homes,74,0.0008458882970211014
b,74,0.0008458882970211014
related,74,0.0008458882970211014
future,72,0.0008230264511556664
made,72,0.0008230264511556664
use,72,0.0008230264511556664
due,71,0.0008115955282229487
process,71,0.0008115955282229487
held,71,0.0008115955282229487
van,71,0.0008115955282229487
equity,71,0.0008115955282229487
strategic,70,0.0008001646052902312
netherlands,70,0.0008001646052902312
programme,69,0.0007887336823575135
within,69,0.0007887336823575135
yearend,69,0.0007887336823575135
energy,69,0.0007887336823575135
expected,68,0.000777302759424796
committee,68,0.000777302759424796
significant,68,0.000777302759424796
nonresidential,67,0.0007658718364920784
trust,67,0.0007658718364920784
preference,67,0.0007658718364920784
well,67,0.0007658718364920784
infra,67,0.0007658718364920784
losses,66,0.0007544409135593607
increase,66,0.0007544409135593607
one,66,0.0007544409135593607
included,66,0.0007544409135593607
rate,65,0.0007430099906266432
