word,count,tf
heineken,1034,0.012519523919071086
board,864,0.0104611882650652
report,627,0.0075916262062452325
financial,554,0.006707752660701529
executive,446,0.005400104127568379
supervisory,425,0.005145839135014711
statements,345,0.004177210591953118
nv,331,0.00400770059691734
company,313,0.0037897591747284814
information,301,0.0036444648932692425
profit,273,0.003305444903197685
shares,261,0.003160150621738446
tax,260,0.0031480427649501763
assets,257,0.0031117191945853663
million,253,0.0030632877674322866
value,247,0.0029906406267026673
annual,244,0.0029543170563378577
net,242,0.0029301013427613177
sustainability,236,0.0028574542020316984
review,222,0.00268794420699592
cash,216,0.0026152970662663
performance,209,0.002530542068748411
risk,205,0.002482110641595331
share,197,0.002385247787289172
income,191,0.0023126006465595526
operating,188,0.002276277076194743
continued,187,0.002264169219406473
business,186,0.002252061362618203
management,180,0.0021794142218885836
liabilities,176,0.002130982794735504
introduction,174,0.002106767081158964
total,166,0.0020099042268528046
recognised,162,0.001961472799699725
year,157,0.0019009335157583755
consolidated,157,0.0019009335157583755
fair,146,0.0017677470910874066
interest,142,0.001719315663934327
loss,140,0.001695099950357787
based,140,0.001695099950357787
water,137,0.0016587763799929774
members,136,0.0016466685232047074
december,132,0.001598237096051628
code,129,0.0015619135256868181
amount,129,0.0015619135256868181
equity,120,0.001452942814592389
remuneration,115,0.0013924035306510396
beia,113,0.0013681878170744997
date,112,0.0013560799602862297
rate,108,0.00130764853313315
audit,108,0.00130764853313315
basis,106,0.0012834328195566102
number,106,0.0012834328195566102
notes,105,0.0012713249627683404
millions,104,0.0012592171059800704
growth,103,0.0012471092491918006
period,103,0.0012471092491918006
balance,102,0.0012350013924035306
new,101,0.0012228935356152608
reporting,99,0.001198677822038721
part,99,0.001198677822038721
beer,98,0.001186569965250451
mr,95,0.0011502463948856413
years,94,0.0011381385380973715
including,94,0.0011381385380973715
per,94,0.0011381385380973715
expenses,93,0.0011260306813091015
changes,92,0.0011139228245208316
revenue,92,0.0011139228245208316
may,91,0.0011018149677325616
global,91,0.0011018149677325616
plan,91,0.0011018149677325616
also,91,0.0011018149677325616
risks,90,0.0010897071109442918
note,89,0.0010775992541560218
companies,89,0.0010775992541560218
programme,88,0.001065491397367752
market,88,0.001065491397367752
netherlands,87,0.001053383540579482
rights,87,0.001053383540579482
investments,87,0.001053383540579482
committee,86,0.0010412756837912122
dutch,85,0.0010291678270029421
accounting,85,0.0010291678270029421
investment,85,0.0010291678270029421
impairment,84,0.0010170599702146723
holding,84,0.0010170599702146723
local,82,0.0009928442566381325
loans,81,0.0009807363998498625
current,81,0.0009807363998498625
foreign,80,0.0009686285430615927
volume,80,0.0009686285430615927
impact,78,0.0009444128294850529
future,78,0.0009444128294850529
related,78,0.0009444128294850529
joint,77,0.0009323049726967829
unsecured,77,0.0009323049726967829
one,77,0.0009323049726967829
us,77,0.0009323049726967829
eur,77,0.0009323049726967829
statement,76,0.000920197115908513
included,76,0.000920197115908513
currency,75,0.0009080892591202431
issue,75,0.0009080892591202431
acquisition,75,0.0009080892591202431
losses,75,0.0009080892591202431
brands,75,0.0009080892591202431
interests,74,0.0008959814023319732
following,73,0.0008838735455437033
flow,73,0.0008838735455437033
control,71,0.0008596578319671635
emissions,71,0.0008596578319671635
longterm,70,0.0008475499751788935
within,70,0.0008475499751788935
production,70,0.0008475499751788935
change,70,0.0008475499751788935
used,69,0.0008354421183906236
group,69,0.0008354421183906236
bond,68,0.0008233342616023537
exchange,68,0.0008233342616023537
policy,67,0.0008112264048140839
significant,67,0.0008112264048140839
world,66,0.000799118548025814
cost,66,0.000799118548025814
provisions,66,0.000799118548025814
employees,66,0.000799118548025814
emtn,65,0.0007870106912375441
internal,64,0.0007749028344492742
level,64,0.0007749028344492742
markets,63,0.0007627949776610043
items,63,0.0007627949776610043
activities,62,0.0007506871208727343
expected,62,0.0007506871208727343
price,62,0.0007506871208727343
agm,62,0.0007506871208727343
use,61,0.0007385792640844644
benefits,61,0.0007385792640844644
average,61,0.0007385792640844644
intangible,61,0.0007385792640844644
target,60,0.0007264714072961945
relevant,60,0.0007264714072961945
progress,60,0.0007264714072961945
africa,60,0.0007264714072961945
respect,60,0.0007264714072961945
corporate,60,0.0007264714072961945
held,60,0.0007264714072961945
benefit,59,0.0007143635505079246
plans,58,0.0007022556937196547
january,58,0.0007022556937196547
capital,58,0.0007022556937196547
member,58,0.0007022556937196547
key,58,0.0007022556937196547
pay,58,0.0007022556937196547
governance,57,0.0006901478369313848
responsible,57,0.0006901478369313848
rates,57,0.0006901478369313848
vesting,57,0.0006901478369313848
shareholders,57,0.0006901478369313848
chairman,56,0.0006780399801431149
defined,56,0.0006780399801431149
europe,56,0.0006780399801431149
materials,55,0.0006659321233548449
bank,55,0.0006659321233548449
brewery,55,0.0006659321233548449
consumption,55,0.0006659321233548449
shall,55,0.0006659321233548449
dividend,55,0.0006659321233548449
paid,54,0.000653824266566575
ifrs,54,0.000653824266566575
operations,54,0.000653824266566575
best,54,0.000653824266566575
policies,54,0.000653824266566575
ventures,53,0.0006417164097783051
cider,53,0.0006417164097783051
customers,53,0.0006417164097783051
bv,52,0.0006296085529900352
acquired,52,0.0006296085529900352
case,52,0.0006296085529900352
sale,52,0.0006296085529900352
energy,51,0.0006175006962017653
strategy,51,0.0006175006962017653
supplier,51,0.0006175006962017653
p,51,0.0006175006962017653
instruments,51,0.0006175006962017653
costs,51,0.0006175006962017653
data,51,0.0006175006962017653
well,51,0.0006175006962017653
meeting,50,0.0006053928394134954
safety,50,0.0006053928394134954
comprehensive,50,0.0006053928394134954
associates,50,0.0006053928394134954
variable,49,0.0005932849826252255
brand,48,0.0005811771258369557
across,48,0.0005811771258369557
de,48,0.0005811771258369557
trade,48,0.0005811771258369557
carrying,48,0.0005811771258369557
plant,47,0.0005690692690486857
raw,47,0.0005690692690486857
development,47,0.0005690692690486857
noncurrent,47,0.0005690692690486857
equipment,47,0.0005690692690486857
four,47,0.0005690692690486857
asset,47,0.0005690692690486857
standards,47,0.0005690692690486857
effect,46,0.0005569614122604158
time,46,0.0005569614122604158
americas,46,0.0005569614122604158
reserve,46,0.0005569614122604158
people,46,0.0005569614122604158
flows,46,0.0005569614122604158
practice,46,0.0005569614122604158
femsa,46,0.0005569614122604158
measures,46,0.0005569614122604158
employee,46,0.0005569614122604158
online,46,0.0005569614122604158
using,45,0.0005448535554721459
april,45,0.0005448535554721459
van,45,0.0005448535554721459
two,45,0.0005448535554721459
derivatives,45,0.0005448535554721459
accordance,44,0.000532745698683876
products,44,0.000532745698683876
refer,44,0.000532745698683876
provide,44,0.000532745698683876
amounts,44,0.000532745698683876
earnings,44,0.000532745698683876
sustainable,44,0.000532745698683876
strategic,44,0.000532745698683876
third,44,0.000532745698683876
due,44,0.000532745698683876
available,44,0.000532745698683876
increase,43,0.0005206378418956061
hedge,43,0.0005206378418956061
areas,43,0.0005206378418956061
deferred,43,0.0005206378418956061
international,43,0.0005206378418956061
better,43,0.0005206378418956061
payments,43,0.0005206378418956061
less,43,0.0005206378418956061
includes,43,0.0005206378418956061
legal,43,0.0005206378418956061
finance,43,0.0005206378418956061
credit,42,0.0005085299851073362
commitment,42,0.0005085299851073362
region,42,0.0005085299851073362
support,41,0.0004964221283190663
focus,41,0.0004964221283190663
human,41,0.0004964221283190663
subject,41,0.0004964221283190663
compliance,41,0.0004964221283190663
procedures,41,0.0004964221283190663
include,41,0.0004964221283190663
process,41,0.0004964221283190663
end,41,0.0004964221283190663
scope,41,0.0004964221283190663
award,40,0.00048431427153079634
economic,40,0.00048431427153079634
provision,40,0.00048431427153079634
effective,40,0.00048431427153079634
breweries,40,0.00048431427153079634
senior,40,0.00048431427153079634
sheet,40,0.00048431427153079634
amortisation,40,0.00048431427153079634
line,40,0.00048431427153079634
co,39,0.0004722064147425264
reduce,39,0.0004722064147425264
debt,39,0.0004722064147425264
ordinary,39,0.0004722064147425264
result,39,0.0004722064147425264
terms,39,0.0004722064147425264
borrowings,39,0.0004722064147425264
noncontrolling,39,0.0004722064147425264
goodwill,38,0.0004600985579542565
uk,38,0.0004600985579542565
brewing,38,0.0004600985579542565
expense,38,0.0004600985579542565
present,38,0.0004600985579542565
pension,38,0.0004600985579542565
distribution,38,0.0004600985579542565
entities,38,0.0004600985579542565
interestbearing,38,0.0004600985579542565
first,38,0.0004600985579542565
payout,38,0.0004600985579542565
website,38,0.0004600985579542565
consolidation,38,0.0004600985579542565
measured,38,0.0004600985579542565
suppliers,38,0.0004600985579542565
attributable,38,0.0004600985579542565
assumptions,37,0.0004479907011659866
sourcing,37,0.0004479907011659866
services,37,0.0004479907011659866
mainly,37,0.0004479907011659866
could,37,0.0004479907011659866
usd,36,0.0004358828443777167
ltv,36,0.0004358828443777167
external,36,0.0004358828443777167
strong,36,0.0004358828443777167
various,36,0.0004358828443777167
assurance,36,0.0004358828443777167
made,36,0.0004358828443777167
liability,36,0.0004358828443777167
contracts,35,0.00042377498758944677
agreement,35,0.00042377498758944677
stv,35,0.00042377498758944677
subsidiaries,35,0.00042377498758944677
property,35,0.00042377498758944677
term,35,0.00042377498758944677
receivables,35,0.00042377498758944677
set,35,0.00042377498758944677
operational,35,0.00042377498758944677
asia,35,0.00042377498758944677
projects,35,0.00042377498758944677
ii,35,0.00042377498758944677
issued,35,0.00042377498758944677
weighted,35,0.00042377498758944677
lease,34,0.00041166713080117686
general,34,0.00041166713080117686
kirin,34,0.00041166713080117686
working,34,0.00041166713080117686
excluding,34,0.00041166713080117686
conditions,34,0.00041166713080117686
organic,34,0.00041166713080117686
countries,34,0.00041166713080117686
granted,34,0.00041166713080117686
values,33,0.000399559274012907
acquisitions,33,0.000399559274012907
exceptional,33,0.000399559274012907
base,33,0.000399559274012907
least,33,0.000399559274012907
maximum,33,0.000399559274012907
limited,32,0.0003874514172246371
health,32,0.0003874514172246371
page,32,0.0003874514172246371
brazil,32,0.0003874514172246371
pacific,32,0.0003874514172246371
diversity,32,0.0003874514172246371
independent,32,0.0003874514172246371
commitments,32,0.0003874514172246371
portfolio,32,0.0003874514172246371
matching,32,0.0003874514172246371
estimated,31,0.00037534356043636717
nonfinancial,31,0.00037534356043636717
completed,31,0.00037534356043636717
since,31,0.00037534356043636717
brasil,31,0.00037534356043636717
drive,31,0.00037534356043636717
hedging,31,0.00037534356043636717
see,31,0.00037534356043636717
parties,31,0.00037534356043636717
shareholder,31,0.00037534356043636717
continue,31,0.00037534356043636717
excise,31,0.00037534356043636717
material,31,0.00037534356043636717
individual,31,0.00037534356043636717
would,31,0.00037534356043636717
composition,31,0.00037534356043636717
team,30,0.00036323570364809726
dividends,30,0.00036323570364809726
obligations,30,0.00036323570364809726
results,30,0.00036323570364809726
packaging,30,0.00036323570364809726
increased,30,0.00036323570364809726
drinking,30,0.00036323570364809726
manage,30,0.00036323570364809726
determined,30,0.00036323570364809726
swaps,29,0.00035112784685982734
civil,29,0.00035112784685982734
e,29,0.00035112784685982734
position,29,0.00035112784685982734
movements,29,0.00035112784685982734
classified,29,0.00035112784685982734
mexico,29,0.00035112784685982734
large,29,0.00035112784685982734
obligation,28,0.00033901999007155743
transactions,28,0.00033901999007155743
controls,28,0.00033901999007155743
boxmeer,28,0.00033901999007155743
differences,28,0.00033901999007155743
social,28,0.00033901999007155743
personnel,28,0.00033901999007155743
targets,28,0.00033901999007155743
implementation,28,0.00033901999007155743
service,28,0.00033901999007155743
table,28,0.00033901999007155743
availableforsale,28,0.00033901999007155743
action,28,0.00033901999007155743
processes,28,0.00033901999007155743
considered,28,0.00033901999007155743
commercial,27,0.0003269121332832875
hedges,27,0.0003269121332832875
valuation,27,0.0003269121332832875
extent,27,0.0003269121332832875
around,27,0.0003269121332832875
requirements,27,0.0003269121332832875
view,27,0.0003269121332832875
priorities,27,0.0003269121332832875
study,27,0.0003269121332832875
main,27,0.0003269121332832875
wastewater,27,0.0003269121332832875
performed,27,0.0003269121332832875
approach,27,0.0003269121332832875
rules,27,0.0003269121332832875
appointment,27,0.0003269121332832875
work,27,0.0003269121332832875
exposure,27,0.0003269121332832875
shortterm,27,0.0003269121332832875
segment,27,0.0003269121332832875
translation,27,0.0003269121332832875
required,27,0.0003269121332832875
free,27,0.0003269121332832875
resources,26,0.0003148042764950176
majority,26,0.0003148042764950176
life,26,0.0003148042764950176
directly,26,0.0003148042764950176
taxes,26,0.0003148042764950176
indicators,26,0.0003148042764950176
deliver,26,0.0003148042764950176
communities,26,0.0003148042764950176
conduct,26,0.0003148042764950176
mrs,26,0.0003148042764950176
east,26,0.0003148042764950176
sales,26,0.0003148042764950176
contributions,26,0.0003148042764950176
make,26,0.0003148042764950176
forward,26,0.0003148042764950176
levels,26,0.0003148042764950176
possible,25,0.0003026964197067477
holders,25,0.0003026964197067477
partnership,25,0.0003026964197067477
debroux,25,0.0003026964197067477
contribution,25,0.0003026964197067477
reported,25,0.0003026964197067477
sources,25,0.0003026964197067477
premium,25,0.0003026964197067477
launched,25,0.0003026964197067477
provided,25,0.0003026964197067477
provides,25,0.0003026964197067477
specific,25,0.0003026964197067477
system,25,0.0003026964197067477
fixed,25,0.0003026964197067477
media,25,0.0003026964197067477
currencies,25,0.0003026964197067477
criteria,25,0.0003026964197067477
derivative,25,0.0003026964197067477
regulations,25,0.0003026964197067477
section,25,0.0003026964197067477
amsterdam,25,0.0003026964197067477
applicable,25,0.0003026964197067477
regional,24,0.0002905885629184778
transferred,24,0.0002905885629184778
craft,24,0.0002905885629184778
consumers,24,0.0002905885629184778
whether,24,0.0002905885629184778
lower,24,0.0002905885629184778
arising,24,0.0002905885629184778
gains,24,0.0002905885629184778
gain,24,0.0002905885629184778
labour,24,0.0002905885629184778
party,24,0.0002905885629184778
payment,24,0.0002905885629184778
place,24,0.0002905885629184778
issues,24,0.0002905885629184778
acquisitionrelated,24,0.0002905885629184778
develop,24,0.0002905885629184778
applied,24,0.0002905885629184778
auditor,24,0.0002905885629184778
chain,23,0.0002784807061302079
intangibles,23,0.0002784807061302079
additional,23,0.0002784807061302079
renewable,23,0.0002784807061302079
without,23,0.0002784807061302079
quality,23,0.0002784807061302079
training,23,0.0002784807061302079
