word,count,tf
kpn,1060,0.013748378728923476
financial,533,0.006913099870298314
value,459,0.005953307392996109
board,432,0.0056031128404669265
eur,366,0.004747081712062257
management,302,0.003916990920881972
report,269,0.003488975356679637
longterm,223,0.0028923476005188065
supervisory,220,0.0028534370946822307
services,208,0.0026977950713359274
customers,202,0.0026199740596627758
business,200,0.0025940337224383916
tax,197,0.0025551232166018158
statements,189,0.00245136186770428
total,188,0.0024383916990920883
cash,183,0.0023735408560311283
data,182,0.0023605706874189366
december,179,0.0023216601815823604
assets,172,0.0022308690012970167
information,171,0.002217898832684825
dutch,163,0.002114137483787289
customer,162,0.002101167315175097
year,160,0.0020752269779507134
shares,160,0.0020752269779507134
based,156,0.0020233463035019454
risk,155,0.0020103761348897534
company,152,0.0019714656290531775
new,152,0.0019714656290531775
create,146,0.0018936446173800259
consolidated,137,0.0017769130998702984
income,134,0.0017380025940337224
interest,129,0.0016731517509727626
also,128,0.0016601815823605707
net,127,0.0016472114137483786
performance,125,0.001621271076523995
audit,122,0.0015823605706874189
corporate,120,0.0015564202334630351
including,119,0.001543450064850843
netherlands,117,0.001517509727626459
mobile,114,0.0014785992217898833
share,114,0.0014785992217898833
operations,114,0.0014785992217898833
impact,108,0.0014007782101167316
fair,107,0.0013878080415045395
market,105,0.0013618677042801556
group,105,0.0013618677042801556
committee,104,0.0013488975356679637
appendices,104,0.0013488975356679637
part,102,0.0013229571984435798
rate,100,0.0012970168612191958
policy,99,0.001284046692607004
energy,98,0.0012710765239948118
x,95,0.001232166018158236
million,95,0.001232166018158236
reporting,95,0.001232166018158236
service,94,0.0012191958495460441
network,91,0.0011802853437094683
p,91,0.0011802853437094683
position,90,0.0011673151750972762
members,89,0.0011543450064850844
risks,88,0.0011413748378728923
revenues,88,0.0011413748378728923
security,88,0.0011413748378728923
safeguard,87,0.0011284046692607004
glance,86,0.0011154345006485083
years,86,0.0011154345006485083
related,86,0.0011154345006485083
liabilities,86,0.0011154345006485083
recognized,85,0.0011024643320363165
remuneration,85,0.0011024643320363165
use,84,0.0010894941634241246
contents,83,0.0010765239948119325
fixed,83,0.0010765239948119325
equity,83,0.0010765239948119325
society,82,0.0010635538261997406
ifrs,82,0.0010635538261997406
annual,81,0.0010505836575875485
sustainability,81,0.0010505836575875485
scope,81,0.0010505836575875485
included,80,0.0010376134889753567
costs,80,0.0010376134889753567
products,79,0.0010246433203631648
expenses,79,0.0010246433203631648
