word,count,tf
philips,1513,0.011651816312542838
eur,1072,0.008255616052244496
million,837,0.006445849473627465
financial,830,0.006391941532987809
company,731,0.005629529229655528
board,635,0.004890220329454529
annual,625,0.004813208985683591
report,621,0.004782404448175216
income,554,0.004266428444909935
group,551,0.004243325041778654
assets,499,0.0038428660541697792
management,496,0.003819762651038498
shares,434,0.0033422923196586856
cash,408,0.0031420628258542484
health,397,0.003057350347706217
value,389,0.002995741272689467
net,376,0.0028956265257872485
statements,376,0.0028956265257872485
supervisory,358,0.002757006106999561
business,353,0.0027185004351140923
tax,337,0.0025952822850805924
information,330,0.002541374344440936
performance,327,0.0025182709413096548
operations,327,0.0025182709413096548
sales,313,0.0024104550600303424
committee,293,0.0022564323724884676
businesses,285,0.0021948232974717177
share,268,0.002063904013061124
related,267,0.00205620287868403
december,264,0.002033099475552749
risk,255,0.0019637892661589053
care,253,0.0019483869974047177
also,242,0.0018636745192566865
total,242,0.0018636745192566865
shareholders,227,0.0017481575036002804
audit,224,0.0017250541004689992
liabilities,216,0.0016634450254522492
may,214,0.0016480427566980616
growth,211,0.0016249393535667804
new,209,0.0016095370848125928
year,208,0.0016018359504354992
costs,200,0.0015402268754187492
lighting,197,0.001517123472287468
members,189,0.001455514397270718
including,187,0.0014401121285165304
based,180,0.0013862041878768743
sustainability,180,0.0013862041878768743
interest,177,0.001363100784745593
fair,174,0.0013399973816143119
impact,174,0.0013399973816143119
general,170,0.0013091928441059369
treatment,168,0.0012937905753517493
due,167,0.0012860894409746555
recognized,165,0.001270687172220468
debt,164,0.0012629860378433743
market,164,0.0012629860378433743
changes,164,0.0012629860378433743
solutions,163,0.0012552849034662805
included,161,0.001239882634712093
us,160,0.0012321815003349993
products,160,0.0012321815003349993
note,156,0.0012013769628266243
executive,155,0.0011936758284495307
reporting,150,0.001155170156564062
control,150,0.001155170156564062
number,149,0.0011474690221869681
basis,146,0.001124365619055687
sale,146,0.001124365619055687
internal,146,0.001124365619055687
cost,143,0.0011012622159244057
discontinued,143,0.0011012622159244057
held,143,0.0011012622159244057
amount,142,0.001093561081547312
diagnosis,141,0.0010858599471702181
balance,139,0.0010704576784160307
mainly,138,0.001062756544038937
per,137,0.0010550554096618431
millions,137,0.0010550554096618431
results,136,0.0010473542752847495
rate,134,0.001031952006530562
risks,131,0.0010088486033992808
accounting,131,0.0010088486033992808
capital,131,0.0010088486033992808
loss,130,0.001001147469022187
informatics,129,0.0009934463346450931
personal,128,0.0009857452002679996
dutch,128,0.0009857452002679996
environmental,128,0.0009857452002679996
meeting,128,0.0009857452002679996
connected,127,0.0009780440658909058
plans,127,0.0009780440658909058
activities,126,0.000970342931513812
increase,125,0.0009626417971367183
significant,124,0.0009549406627596245
equity,123,0.0009472395283825308
dividend,122,0.000939538394005437
refer,121,0.0009318372596283433
corporate,121,0.0009318372596283433
plan,120,0.0009241361252512495
ifrs,120,0.0009241361252512495
companies,119,0.0009164349908741558
longterm,119,0.0009164349908741558
years,119,0.0009164349908741558
current,118,0.000908733856497062
provisions,118,0.000908733856497062
date,117,0.0009010327221199683
innovation,116,0.0008933315877428745
common,116,0.0008933315877428745
