word,count,tf
unilever,1498,0.012425657572766409
million,884,0.007332631037600471
financial,618,0.005126205861127931
shares,602,0.004993488557279959
group,602,0.004993488557279959
nv,452,0.0037492638337052182
report,449,0.0037243793392337235
assets,425,0.003525303383461765
tax,412,0.0034174705740852873
annual,402,0.0033345222591803047
business,399,0.00330963776470881
plc,392,0.0032515739442753222
directors,366,0.003035908325522367
value,364,0.0030193186625413703
committee,360,0.0029861393365793773
profit,354,0.0029363703476363878
share,354,0.0029363703476363878
underlying,352,0.0029197806846553913
performance,338,0.0028036530437884153
growth,336,0.002787063380807419
cash,330,0.0027372943918644293
year,327,0.0027124098973929345
operating,305,0.0025299236046019725
liabilities,299,0.002480154615658983
accounts,283,0.0023474373118110106
us,271,0.002247899333925031
net,269,0.0022313096709440346
statements,249,0.0020654130411340696
limited,244,0.002023938883681578
total,234,0.0019409905687765953
executive,232,0.0019244009057955988
december,231,0.0019161060743051006
income,214,0.0017750939389666299
current,205,0.0017004404555521454
information,201,0.0016672611295901524
new,201,0.0016672611295901524
management,193,0.0016009024776661661
impact,192,0.0015926076461756679
risk,189,0.0015677231517041731
remuneration,186,0.0015428386572326784
also,186,0.0015428386572326784
held,184,0.0015262489942516819
may,183,0.0015179541627611834
capital,182,0.0015096593312706851
company,180,0.0014930696682896886
pay,174,0.0014433006793466991
companies,173,0.0014350058478562009
within,172,0.0014267110163657026
mcip,172,0.0014267110163657026
rate,166,0.001376942027422713
exchange,166,0.001376942027422713
billion,164,0.0013603523644417164
including,162,0.0013437627014607199
b,159,0.001318878206989225
ordinary,159,0.001318878206989225
years,156,0.0012939937125177302
shareholders,154,0.0012774040495367337
per,153,0.0012691092180462354
fair,151,0.001252519555065239
united,150,0.0012442247235747406
statement,150,0.0012442247235747406
costs,149,0.0012359298920842424
change,149,0.0012359298920842424
eur,148,0.0012276350605937441
interest,147,0.0012193402291032457
audit,146,0.0012110453976127474
policy,146,0.0012110453976127474
continued,145,0.0012027505661222492
consolidated,145,0.0012027505661222492
page,141,0.0011695712401602562
bonus,140,0.001161276408669758
sales,139,0.0011529815771792597
equity,139,0.0011529815771792597
accounting,136,0.001128097082707765
turnover,134,0.0011115074197267682
investment,134,0.0011115074197267682
boards,133,0.00110321258823627
sustainable,132,0.0010949177567457717
governance,132,0.0010949177567457717
note,131,0.0010866229252552734
see,130,0.0010783280937647752
plans,130,0.0010783280937647752
based,129,0.001070033262274277
number,129,0.001070033262274277
brands,128,0.0010617384307837787
due,128,0.0010617384307837787
changes,127,0.0010534435992932804
c,126,0.0010451487678027822
corporate,126,0.0010451487678027822
flow,125,0.001036853936312284
uk,124,0.0010285591048217857
notes,123,0.0010202642733312872
maximum,120,0.0009953797788597924
code,120,0.0009953797788597924
items,120,0.0009953797788597924
date,116,0.0009622004528977994
significant,116,0.0009622004528977994
dividends,115,0.0009539056214073011
care,115,0.0009539056214073011
longterm,114,0.0009456107899168028
board,114,0.0009456107899168028
period,114,0.0009456107899168028
global,113,0.0009373159584263046
plan,113,0.0009373159584263046
foreign,112,0.0009290211269358063
balance,111,0.000920726295445308
recognised,111,0.000920726295445308
markets,110,0.0009124314639548098
loss,110,0.0009124314639548098
ceo,109,0.0009041366324643114
target,109,0.0009041366324643114
additional,109,0.0009041366324643114
rates,108,0.0008958418009738132
cost,108,0.0008958418009738132
february,107,0.0008875469694833149
fixed,107,0.0008875469694833149
risks,107,0.0008875469694833149
pages,106,0.0008792521379928167
currency,106,0.0008792521379928167
margin,106,0.0008792521379928167
level,106,0.0008792521379928167
set,106,0.0008792521379928167
gbp,106,0.0008792521379928167
trade,105,0.0008709573065023184
netherlands,104,0.0008626624750118202
part,103,0.0008543676435213218
awards,103,0.0008543676435213218
market,102,0.0008460728120308236
personal,102,0.0008460728120308236
products,101,0.0008377779805403253
director,100,0.0008294831490498271
basis,98,0.0008128934860688306
made,98,0.0008128934860688306
used,97,0.0008045986545783322
related,95,0.0007880089915973357
following,95,0.0007880089915973357
states,95,0.0007880089915973357
paid,93,0.0007714193286163392
included,93,0.0007714193286163392
pension,90,0.0007465348341448443
reporting,90,0.0007465348341448443
key,89,0.0007382400026543461
sheet,89,0.0007382400026543461
review,88,0.0007299451711638478
future,88,0.0007299451711638478
earnings,88,0.0007299451711638478
one,88,0.0007299451711638478
purposes,88,0.0007299451711638478
acquisitions,88,0.0007299451711638478
required,87,0.0007216503396733496
subject,87,0.0007216503396733496
benefits,87,0.0007216503396733496
amount,86,0.0007133555081828513
benefit,86,0.0007133555081828513
measures,85,0.000705060676692353
relevant,84,0.0006967658452018547
nonunderlying,83,0.0006884710137113564
would,83,0.0006884710137113564
material,82,0.0006801761822208582
details,82,0.0006801761822208582
deferred,82,0.0006801761822208582
january,82,0.0006801761822208582
bv,81,0.0006718813507303599
preference,81,0.0006718813507303599
results,81,0.0006718813507303599
price,81,0.0006718813507303599
inc,81,0.0006718813507303599
cfo,81,0.0006718813507303599
activities,80,0.0006635865192398617
investments,80,0.0006635865192398617
nonexecutive,80,0.0006635865192398617
use,79,0.0006552916877493633
brand,79,0.0006552916877493633
includes,79,0.0006552916877493633
finance,79,0.0006552916877493633
employees,78,0.0006469968562588651
policies,78,0.0006469968562588651
strategic,78,0.0006469968562588651
average,78,0.0006469968562588651
increase,77,0.0006387020247683668
amounts,77,0.0006387020247683668
acquired,77,0.0006387020247683668
award,77,0.0006387020247683668
respect,77,0.0006387020247683668
less,76,0.0006304071932778686
effect,76,0.0006304071932778686
noncurrent,76,0.0006304071932778686
vesting,75,0.0006221123617873703
using,75,0.0006221123617873703
external,75,0.0006221123617873703
april,75,0.0006221123617873703
people,72,0.0005972278673158755
dutch,72,0.0005972278673158755
foods,71,0.0005889330358253772
well,71,0.0005889330358253772
countries,71,0.0005889330358253772
services,71,0.0005889330358253772
holdings,70,0.000580638204334879
include,70,0.000580638204334879
payments,70,0.000580638204334879
losses,70,0.000580638204334879
dividend,70,0.000580638204334879
provided,69,0.0005723433728443807
shareholder,69,0.0005723433728443807
appropriate,69,0.0005723433728443807
standards,68,0.0005640485413538824
sale,68,0.0005640485413538824
programme,68,0.0005640485413538824
intangible,68,0.0005640485413538824
issued,68,0.0005640485413538824
provisions,68,0.0005640485413538824
strategy,67,0.0005557537098633841
certain,67,0.0005557537098633841
disposals,67,0.0005557537098633841
living,67,0.0005557537098633841
instruments,67,0.0005557537098633841
available,66,0.0005474588783728858
local,66,0.0005474588783728858
consumers,66,0.0005474588783728858
gsip,65,0.0005391640468823876
operations,65,0.0005391640468823876
hedge,65,0.0005391640468823876
defined,64,0.0005308692153918893
consumer,64,0.0005308692153918893
development,64,0.0005308692153918893
fees,63,0.0005225743839013911
impairment,63,0.0005225743839013911
three,63,0.0005225743839013911
control,63,0.0005225743839013911
climate,62,0.0005142795524108928
time,62,0.0005142795524108928
taxation,62,0.0005142795524108928
joint,62,0.0005142795524108928
credit,61,0.0005059847209203945
derivatives,61,0.0005059847209203945
subsidiaries,61,0.0005059847209203945
spreads,61,0.0005059847209203945
receivables,61,0.0005059847209203945
salary,61,0.0005059847209203945
acquisition,61,0.0005059847209203945
across,61,0.0005059847209203945
individual,61,0.0005059847209203945
world,60,0.0004976898894298962
listing,60,0.0004976898894298962
relation,60,0.0004976898894298962
requirements,60,0.0004976898894298962
framework,60,0.0004976898894298962
de,60,0.0004976898894298962
members,59,0.000489395057939398
internal,59,0.000489395057939398
effective,59,0.000489395057939398
table,59,0.000489395057939398
accordance,59,0.000489395057939398
equivalents,59,0.000489395057939398
chairman,59,0.000489395057939398
compensation,59,0.000489395057939398
legal,58,0.0004811002264488997
portfolio,58,0.0004811002264488997
contracts,58,0.0004811002264488997
loans,58,0.0004811002264488997
economic,57,0.0004728053949584014
uslp,57,0.0004728053949584014
auditors,57,0.0004728053949584014
high,57,0.0004728053949584014
water,56,0.00046451056346790315
increased,56,0.00046451056346790315
co,56,0.00046451056346790315
values,56,0.00046451056346790315
disclosures,55,0.0004562157319774049
sa,55,0.0004562157319774049
brazil,55,0.0004562157319774049
reward,54,0.0004479209004869066
usd,54,0.0004479209004869066
ventures,54,0.0004479209004869066
debt,54,0.0004479209004869066
home,54,0.0004479209004869066
ensure,53,0.00043962606899640834
subsidiary,53,0.00043962606899640834
llc,53,0.00043962606899640834
obligations,53,0.00043962606899640834
end,52,0.0004313312375059101
rights,52,0.0004313312375059101
general,52,0.0004313312375059101
website,52,0.0004313312375059101
opportunity,52,0.0004313312375059101
expected,52,0.0004313312375059101
goodwill,52,0.0004313312375059101
entities,52,0.0004313312375059101
terms,52,0.0004313312375059101
previous,51,0.0004230364060154118
treasury,51,0.0004230364060154118
levels,51,0.0004230364060154118
consideration,51,0.0004230364060154118
received,51,0.0004230364060154118
na,50,0.00041474157452491353
meetings,50,0.00041474157452491353
return,50,0.00041474157452491353
addition,50,0.00041474157452491353
line,50,0.00041474157452491353
interests,49,0.0004064467430344153
movements,49,0.0004064467430344153
announced,49,0.0004064467430344153
principal,49,0.0004064467430344153
account,49,0.0004064467430344153
international,49,0.0004064467430344153
higher,48,0.00039815191154391697
conditions,48,0.00039815191154391697
reserves,48,0.00039815191154391697
form,48,0.00039815191154391697
liability,47,0.0003898570800534187
could,47,0.0003898570800534187
comprehensive,47,0.0003898570800534187
category,47,0.0003898570800534187
chain,47,0.0003898570800534187
cumulative,47,0.0003898570800534187
assumptions,47,0.0003898570800534187
disposal,47,0.0003898570800534187
considered,47,0.0003898570800534187
place,46,0.00038156224856292047
act,46,0.00038156224856292047
trust,46,0.00038156224856292047
continue,46,0.00038156224856292047
responsibility,46,0.00038156224856292047
strong,45,0.00037326741707242216
service,45,0.00037326741707242216
attributable,45,0.00037326741707242216
excluding,45,0.00037326741707242216
base,44,0.0003649725855819239
invest,44,0.0003649725855819239
applied,44,0.0003649725855819239
responsible,44,0.0003649725855819239
stock,44,0.0003649725855819239
similar,44,0.0003649725855819239
matters,44,0.0003649725855819239
contingent,44,0.0003649725855819239
work,44,0.0003649725855819239
class,44,0.0003649725855819239
relating,44,0.0003649725855819239
experience,44,0.0003649725855819239
given,44,0.0003649725855819239
pensions,44,0.0003649725855819239
opportunities,43,0.00035667775409142566
make,43,0.00035667775409142566
agms,43,0.00035667775409142566
america,42,0.00034838292260092735
ule,42,0.00034838292260092735
transactions,42,0.00034838292260092735
marketing,42,0.00034838292260092735
europe,42,0.00034838292260092735
leadership,42,0.00034838292260092735
issues,42,0.00034838292260092735
carrying,42,0.00034838292260092735
refer,42,0.00034838292260092735
sustainability,42,0.00034838292260092735
around,42,0.00034838292260092735
good,42,0.00034838292260092735
meeting,42,0.00034838292260092735
approach,41,0.0003400880911104291
together,41,0.0003400880911104291
north,41,0.0003400880911104291
kingdom,41,0.0003400880911104291
principles,41,0.0003400880911104291
targets,41,0.0003400880911104291
follows,41,0.0003400880911104291
directly,41,0.0003400880911104291
senior,41,0.0003400880911104291
assessment,41,0.0003400880911104291
five,40,0.00033179325961993085
