word,count,tf,document_count,idf,tf-idf
enexis,674,0.012098583711788041,1.0,2.3978952727983707,0.029011136690051908
netbeheer,77,0.0013821824121775653,1.0,2.3978952727983707,0.003314328672305633
energievoorziening,71,0.0012744798865533394,1.0,2.3978952727983707,0.0030560692952428564
energietransitie,85,0.0015257857796765336,3.0,1.2992829841302609,0.0019824275009616434
noten,55,0.000987273151555404,2.0,1.7047480922384253,0.0016830520216322925
elektriciteit,66,0.0011847277818664848,3.0,1.2992829841302609,0.0015392966478055112
noot,46,0.0008257193631190651,2.0,1.7047480922384253,0.0014076435090015539
wnt,46,0.0008257193631190651,2.0,1.7047480922384253,0.0014076435090015539
holding,129,0.002315604300920857,6.0,0.6061358035703155,0.0014035706736895423
enpuls,31,0.0005564630490585004,1.0,2.3978952727983707,0.001334340114824346
fudura,29,0.0005205622071837585,1.0,2.3978952727983707,0.0012482536558034204
managementbenadering,28,0.0005026117862463875,1.0,2.3978952727983707,0.0012052104262929577
gri,81,0.0014539840959270495,5.0,0.7884573603642703,0.0011464044622862713
netbeheerder,26,0.0004667109443716455,1.0,2.3978952727983707,0.001119123967272032
arrangements,35,0.0006282647328079842,2.0,1.7047480922384253,0.001071033104675095
netten,34,0.0006103143118706134,2.0,1.7047480922384253,0.0010404321588272354
deelnemingen,68,0.0012206286237412267,5.0,0.7884573603642703,0.0009624136226600797
uitvalduur,22,0.00039490926062216164,1.0,2.3978952727983707,0.0009469510492301812
gasnetwerk,22,0.00039490926062216164,1.0,2.3978952727983707,0.0009469510492301812
zebra,22,0.00039490926062216164,1.0,2.3978952727983707,0.0009469510492301812
jaarrekening,262,0.004703010285591197,9.0,0.20067069546215124,0.000943756344775236
gas,65,0.0011667773609291138,5.0,0.7884573603642703,0.0009199541981309585
veiligheid,84,0.0015078353587391624,6.0,0.6061358035703155,0.0009139529968210971
netbeheerders,20,0.0003590084187474196,1.0,2.3978952727983707,0.0008608645902092554
endinet,20,0.0003590084187474196,1.0,2.3978952727983707,0.0008608645902092554
jaarverslag,221,0.003967043027158987,9.0,0.20067069546215124,0.0007960692831882716
verslag,139,0.0024951085102945664,8.0,0.3184537311185346,0.0007945766146489132
gereguleerde,25,0.00044876052343427453,2.0,1.7047480922384253,0.0007650236461964967
joint,41,0.0007359672584322102,4.0,1.0116009116784799,0.0007445051495955353
energiebesparing,24,0.0004308101024969036,2.0,1.7047480922384253,0.0007344227003486368
slimme,30,0.0005385126281211294,3.0,1.2992829841302609,0.0006996802944570505
duurzaamheidsinformatie,30,0.0005385126281211294,3.0,1.2992829841302609,0.0006996802944570505
duurzame,86,0.0015437362006139046,7.0,0.4519851237430572,0.0006977457976611127
rentedragende,49,0.0008795706259311781,5.0,0.7884573603642703,0.0006935039339756457
enkelvoudige,38,0.0006821159956200973,4.0,1.0116009116784799,0.0006900291630397644
bv,190,0.0034105799781004864,9.0,0.20067069546215124,0.0006844034561347132
bijlage,61,0.0010949756771796296,6.0,0.6061358035703155,0.0006637039619772252
risico,114,0.0020463479868602923,8.0,0.3184537311185346,0.000651667151582562
financile,180,0.003231075768726777,9.0,0.20067069546215124,0.0006483822216013073
aardgas,15,0.0002692563140605647,1.0,2.3978952727983707,0.0006456484426569416
aandeelhouderslening,15,0.0002692563140605647,1.0,2.3978952727983707,0.0006456484426569416
netwerken,45,0.0008077689421816941,5.0,0.7884573603642703,0.0006368913679368174
raad,175,0.0031413236640399217,9.0,0.20067069546215124,0.0006303716043346042
commissarissen,77,0.0013821824121775653,7.0,0.4519851237430572,0.0006247258886035541
bestuur,109,0.001956595882173437,8.0,0.3184537311185346,0.0006230852589692917
geconsolideerde,107,0.001920695040298695,8.0,0.3184537311185346,0.0006116525019239836
gebouwde,14,0.0002513058931231937,1.0,2.3978952727983707,0.0006026052131464787
feiten,25,0.00044876052343427453,3.0,1.2992829841302609,0.0005830669120475421
meters,31,0.0005564630490585004,4.0,1.0116009116784799,0.0005629185277429657
ifrs,31,0.0005564630490585004,4.0,1.0116009116784799,0.0005629185277429657
aansluitingen,24,0.0004308101024969036,3.0,1.2992829841302609,0.0005597442355656405
gasnetten,13,0.00023335547218582275,1.0,2.3978952727983707,0.000559561983636016
buitengebruikstellingen,13,0.00023335547218582275,1.0,2.3978952727983707,0.000559561983636016
nietgereguleerde,13,0.00023335547218582275,1.0,2.3978952727983707,0.000559561983636016
winstbelasting,39,0.0007000664165574683,5.0,0.7884573603642703,0.0005519725188785751
onze,307,0.00551077922777289,10.0,0.09531017980432493,0.0005252333590609731
topfunctionarissen,17,0.0003051571559353067,2.0,1.7047480922384253,0.0005202160794136177
verplichtingen,91,0.0016334883053007593,8.0,0.3184537311185346,0.0005201904455615187
distributieverliezen,12,0.00021540505124845175,1.0,2.3978952727983707,0.0005165187541255532
netwerkbedrijven,12,0.00021540505124845175,1.0,2.3978952727983707,0.0005165187541255532
miljoen,293,0.0052594733346496975,10.0,0.09531017980432493,0.0005012813492015152
nv,139,0.0024951085102945664,9.0,0.20067069546215124,0.0005006951600143428
gemeenten,35,0.0006282647328079842,5.0,0.7884573603642703,0.0004953599528397468
ongevallen,16,0.0002872067349979357,2.0,1.7047480922384253,0.0004896151335657578
stations,16,0.0002872067349979357,2.0,1.7047480922384253,0.0004896151335657578
activa,134,0.0024053564056077115,9.0,0.20067069546215124,0.0004826845427476398
kortlopend,34,0.0006103143118706134,5.0,0.7884573603642703,0.00048120681133003985
energienet,11,0.00019745463031108082,1.0,2.3978952727983707,0.0004734755246150906
blacquire,11,0.00019745463031108082,1.0,2.3978952727983707,0.0004734755246150906
aandeelhouders,55,0.000987273151555404,7.0,0.4519851237430572,0.00044623277757396737
verduurzaming,31,0.0005564630490585004,5.0,0.7884573603642703,0.0004387473868009187
klanten,120,0.0021540505124845177,9.0,0.20067069546215124,0.0004322548144008715
handelsschulden,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
moerland,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
vermaat,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
caubo,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
obligatielening,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
transportdiensten,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
broeikasgassen,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
hedgereserve,10,0.0001795042093737098,1.0,2.3978952727983707,0.0004304322951046277
verlof,14,0.0002513058931231937,2.0,1.7047480922384253,0.00042841324187003804
klimaatakkoord,14,0.0002513058931231937,2.0,1.7047480922384253,0.00042841324187003804
excellent,14,0.0002513058931231937,2.0,1.7047480922384253,0.00042841324187003804
verslaggevingscriteria,14,0.0002513058931231937,2.0,1.7047480922384253,0.00042841324187003804
leningen,74,0.0013283311493654526,8.0,0.3184537311185346,0.0004230120106763999
duurzaam,52,0.000933421888743291,7.0,0.4519851237430572,0.0004218928078881146
nettoomzet,23,0.00041285968155953257,4.0,1.0116009116784799,0.00041764923026091003
energie,73,0.0013103807284280814,8.0,0.3184537311185346,0.0004172956321537457
wij,240,0.004308101024969036,10.0,0.09531017980432493,0.0004106058833049954
verklaringen,17,0.0003051571559353067,3.0,1.2992829841302609,0.0003964855001923286
obligatieleningen,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
energieinfrastructuur,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
doelgebonden,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
waterstof,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
klantprocessen,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
selectiecommissie,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
buurkracht,9,0.00016155378843633883,1.0,2.3978952727983707,0.00038738906559416495
aannemers,16,0.0002872067349979357,3.0,1.2992829841302609,0.0003731628237104269
materialen,16,0.0002872067349979357,3.0,1.2992829841302609,0.0003731628237104269
informatie,100,0.0017950420937370981,9.0,0.20067069546215124,0.0003602123453340596
opgenomen,100,0.0017950420937370981,9.0,0.20067069546215124,0.0003602123453340596
waarde,99,0.0017770916727997273,9.0,0.20067069546215124,0.00035661022188071903
latente,32,0.0005744134699958714,6.0,0.6061358035703155,0.00034817257021756083
medewerkers,96,0.0017232404099876142,9.0,0.20067069546215124,0.00034580385152069716
provincies,19,0.00034105799781004864,4.0,1.0116009116784799,0.0003450145815198822
nietfinancile,19,0.00034105799781004864,4.0,1.0116009116784799,0.0003450145815198822
aanleg,19,0.00034105799781004864,4.0,1.0116009116784799,0.0003450145815198822
veilig,19,0.00034105799781004864,4.0,1.0116009116784799,0.0003450145815198822
velthuis,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
verhuur,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
noordbrabant,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
cashpool,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
ltif,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
netwerkbedrijf,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
paper,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
perpetuele,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
calon,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
werkpakket,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
gasnet,8,0.00014360336749896785,1.0,2.3978952727983707,0.0003443458360837022
groep,95,0.0017052899890502432,9.0,0.20067069546215124,0.0003422017280673566
bevlogenheid,11,0.00019745463031108082,2.0,1.7047480922384253,0.0003366104043264586
gereguleerd,11,0.00019745463031108082,2.0,1.7047480922384253,0.0003366104043264586
mln,18,0.00032310757687267766,4.0,1.0116009116784799,0.0003268559193346252
acm,14,0.0002513058931231937,3.0,1.2992829841302609,0.0003265174707466235
vervallen,23,0.00041285968155953257,5.0,0.7884573603642703,0.00032552225472326225
werk,56,0.001005223572492775,8.0,0.3184537311185346,0.0003201171972686269
handelen,39,0.0007000664165574683,7.0,0.4519851237430572,0.00031641960591608594
rating,22,0.00039490926062216164,5.0,0.7884573603642703,0.0003113691132135552
rvc,22,0.00039490926062216164,5.0,0.7884573603642703,0.0003113691132135552
bepalen,54,0.000969322730618033,8.0,0.3184537311185346,0.00030868444022331883
vooruitontvangen,10,0.0001795042093737098,2.0,1.7047480922384253,0.00030600945847859866
storingen,10,0.0001795042093737098,2.0,1.7047480922384253,0.00030600945847859866
aanpassingsvermogen,10,0.0001795042093737098,2.0,1.7047480922384253,0.00030600945847859866
griindex,10,0.0001795042093737098,2.0,1.7047480922384253,0.00030600945847859866
normering,10,0.0001795042093737098,2.0,1.7047480922384253,0.00030600945847859866
oplossingen,28,0.0005026117862463875,6.0,0.6061358035703155,0.0003046509989403657
reikwijdte,53,0.0009513723096806619,8.0,0.3184537311185346,0.00030296806170066474
energieakkoord,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
overijssel,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
edsn,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
concernfinanciering,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
piet,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
elektriciteitsnet,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
energiewetgeving,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
zonneparken,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
jolanda,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
energiekeuzes,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
rcf,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
netverliezen,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
conversierecht,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
transitieprojecten,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
opwek,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
gedragswijzer,7,0.00012565294656159687,1.0,2.3978952727983707,0.00030130260657323943
groepsmaatschappijen,37,0.0006641655746827263,7.0,0.4519851237430572,0.00030019295945885076
publieke,21,0.0003769588396847906,5.0,0.7884573603642703,0.0002972159717038481
versnellen,21,0.0003769588396847906,5.0,0.7884573603642703,0.0002972159717038481
rvb,16,0.0002872067349979357,4.0,1.0116009116784799,0.0002905385949641113
verduurzamen,16,0.0002872067349979357,4.0,1.0116009116784799,0.0002905385949641113
groen,16,0.0002872067349979357,4.0,1.0116009116784799,0.0002905385949641113
couitstoot,20,0.0003590084187474196,5.0,0.7884573603642703,0.0002830628301941411
lening,20,0.0003590084187474196,5.0,0.7884573603642703,0.0002830628301941411
scope,20,0.0003590084187474196,5.0,0.7884573603642703,0.0002830628301941411
buildings,9,0.00016155378843633883,2.0,1.7047480922384253,0.0002754085126307388
semipublieke,9,0.00016155378843633883,2.0,1.7047480922384253,0.0002754085126307388
financieringsbeleid,9,0.00016155378843633883,2.0,1.7047480922384253,0.0002754085126307388
ava,9,0.00016155378843633883,2.0,1.7047480922384253,0.0002754085126307388
emissies,15,0.0002692563140605647,4.0,1.0116009116784799,0.0002723799327788544
tranche,15,0.0002692563140605647,4.0,1.0116009116784799,0.0002723799327788544
lokale,25,0.00044876052343427453,6.0,0.6061358035703155,0.0002720098204824694
ultimo,47,0.0008436697840564361,8.0,0.3184537311185346,0.00026866979056474043
rele,47,0.0008436697840564361,8.0,0.3184537311185346,0.00026866979056474043
vennootschap,33,0.0005923638909332424,7.0,0.4519851237430572,0.0002677396665443804
