word,count,tf,document_count,idf,tf-idf
ing,2959,0.023566610119545396,6.0,0.4054651081081644,0.009555438119864436
banking,611,0.004866238182846311,5.0,0.5877866649021191,0.0028603099121145815
eur,754,0.006005144991597575,7.0,0.25131442828090617,0.0015091795803072916
nn,108,0.0008601533940219339,2.0,1.5040773967762742,0.0012937372777087873
lending,245,0.0019512739031053129,5.0,0.5877866649021191,0.0011469327798168125
recognised,224,0.001784021854267715,5.0,0.5877866649021191,0.0010486242558325144
esr,53,0.00042211231373298614,1.0,2.1972245773362196,0.0009274755501303742
groep,167,0.0013300520074228052,5.0,0.5877866649021191,0.0007817868335894192
mortgages,88,0.0007008657284623166,3.0,1.0986122886681098,0.0007699797019950276
nontrading,56,0.00044600546356692874,2.0,1.5040773967762742,0.0006708267365897416
challengers,38,0.00030264656456327303,1.0,2.1972245773362196,0.0006649824699047964
bankingretail,35,0.00027875341472933043,1.0,2.1972245773362196,0.000612483853859681
books,67,0.0005336136796247182,3.0,1.0986122886681098,0.0005862345458371232
pd,48,0.00038229039734308175,2.0,1.5040773967762742,0.0005749943456483499
mbb,31,0.00024689588161740697,1.0,2.1972245773362196,0.0005424856991328603
var,45,0.00035839724750913915,2.0,1.5040773967762742,0.000539057199045328
outstandings,44,0.0003504328642311583,2.0,1.5040773967762742,0.0005270781501776541
revaluations,44,0.0003504328642311583,2.0,1.5040773967762742,0.0005270781501776541
cro,60,0.00047786299667885215,3.0,1.0986122886681098,0.0005249861604511551
branch,81,0.0006451150455164505,4.0,0.8109302162163288,0.0005231432833450619
mortgage,59,0.0004698986134008713,3.0,1.0986122886681098,0.0005162363911103026
presettlement,29,0.00023096711506144515,1.0,2.1972245773362196,0.0005074866217694499
rijswijk,29,0.00023096711506144515,1.0,2.1972245773362196,0.0005074866217694499
timmermans,29,0.00023096711506144515,1.0,2.1972245773362196,0.0005074866217694499
lgd,42,0.0003345040976751965,2.0,1.5040773967762742,0.000503120052442306
koos,28,0.00022300273178346437,1.0,2.1972245773362196,0.0004899870830877448
governance,522,0.004157408071106014,8.0,0.11778303565638346,0.000489672143077216
wholesale,243,0.0019353451365493512,7.0,0.25131442828090617,0.0004863801565181325
wwwingcomar,27,0.00021503834850548347,1.0,2.1972245773362196,0.0004724875444060396
nonperforming,53,0.00042211231373298614,3.0,1.0986122886681098,0.0004637377750651871
ead,38,0.00030264656456327303,2.0,1.5040773967762742,0.00045520385697161026
forborne,37,0.0002946821812852921,2.0,1.5040773967762742,0.00044322480810393624
percent,94,0.0007486520281302018,5.0,0.5877866649021191,0.0004400476787868587
basel,49,0.00039025478062106267,3.0,1.0986122886681098,0.00042873869770177674
crd,48,0.00038229039734308175,3.0,1.0986122886681098,0.0004199889283609241
organisation,86,0.0006849369619063548,5.0,0.5877866649021191,0.00040259681250712605
client,86,0.0006849369619063548,5.0,0.5877866649021191,0.00040259681250712605
unrealised,46,0.00036636163078712,3.0,1.0986122886681098,0.000402489389679219
fintechs,23,0.00018318081539356,1.0,2.1972245773362196,0.000402489389679219
parent,424,0.003376898509863889,8.0,0.11778303565638346,0.0003977413575952866
belgium,123,0.000979619143191647,6.0,0.4054651081081644,0.00039720138179902856
hamers,22,0.00017521643211557914,1.0,2.1972245773362196,0.0003849898509975138
ralph,22,0.00017521643211557914,1.0,2.1972245773362196,0.0003849898509975138
rwa,32,0.00025486026489538783,2.0,1.5040773967762742,0.0003833295637655666
voya,21,0.00016725204883759825,1.0,2.1972245773362196,0.00036749031231580857
supervisory,387,0.0030822163285785967,8.0,0.11778303565638346,0.00036303279572966017
tlac,29,0.00023096711506144515,2.0,1.5040773967762742,0.0003473924171625446
steven,29,0.00023096711506144515,2.0,1.5040773967762742,0.0003473924171625446
contents,358,0.002851249213517151,8.0,0.11778303565638346,0.0003358287877809259
wwwingcom,19,0.00015132328228163652,1.0,2.1972245773362196,0.0003324912349523982
defence,37,0.0002946821812852921,3.0,1.0986122886681098,0.0003237414656115456
programme,68,0.0005415780629026991,5.0,0.5877866649021191,0.0003183323633777276
ecb,36,0.00028671779800731135,3.0,1.0986122886681098,0.00031499169627069315
fifm,18,0.00014335889900365565,1.0,2.1972245773362196,0.0003149916962706931
airb,26,0.00020707396522750258,2.0,1.5040773967762742,0.0003114552705595228
advances,96,0.0007645807946861635,6.0,0.4054651081081644,0.0003100108345748515
haase,17,0.00013539451572567478,1.0,2.1972245773362196,0.0002974921575889879
crrcrd,33,0.0002628246481733687,3.0,1.0986122886681098,0.00028874238824813534
riskweighted,24,0.00019114519867154088,2.0,1.5040773967762742,0.00028749717282417495
brrd,24,0.00019114519867154088,2.0,1.5040773967762742,0.00028749717282417495
buffer,24,0.00019114519867154088,2.0,1.5040773967762742,0.00028749717282417495
nv,306,0.002437101283062146,8.0,0.11778303565638346,0.0002870491873211266
coalfired,16,0.00012743013244769392,1.0,2.1972245773362196,0.00027999261890728275
balkenende,16,0.00012743013244769392,1.0,2.1972245773362196,0.00027999261890728275
margarete,16,0.00012743013244769392,1.0,2.1972245773362196,0.00027999261890728275
boyer,16,0.00012743013244769392,1.0,2.1972245773362196,0.00027999261890728275
fatca,23,0.00018318081539356,2.0,1.5040773967762742,0.000275518123956501
orange,31,0.00024689588161740697,3.0,1.0986122886681098,0.00027124284956643016
programmes,41,0.00032653971439721563,4.0,0.8109302162163288,0.0002648009211993523
assetliability,22,0.00017521643211557914,2.0,1.5040773967762742,0.00026353907508882705
flynn,15,0.00011946574916971304,1.0,2.1972245773362196,0.0002624930802255776
giroday,15,0.00011946574916971304,1.0,2.1972245773362196,0.0002624930802255776
cet,39,0.00031061094784125384,4.0,0.8109302162163288,0.0002518838030920668
residential,53,0.00042211231373298614,5.0,0.5877866649021191,0.00024811198910322887
realised,38,0.00030264656456327303,4.0,0.8109302162163288,0.0002454252440384241
borrower,28,0.00022300273178346437,3.0,1.0986122886681098,0.0002449935415438724
wilfred,14,0.00011150136589173216,1.0,2.1972245773362196,0.00024499354154387234
nagel,14,0.00011150136589173216,1.0,2.1972245773362196,0.00024499354154387234
npvatrisk,14,0.00011150136589173216,1.0,2.1972245773362196,0.00024499354154387234
cva,20,0.00015928766555961738,2.0,1.5040773967762742,0.0002395809773534791
gainslosses,20,0.00015928766555961738,2.0,1.5040773967762742,0.0002395809773534791
remuneration,248,0.0019751670529392557,8.0,0.11778303565638346,0.00023264117142365818
bcbs,19,0.00015132328228163652,2.0,1.5040773967762742,0.00022760192848580513
