word,count,tf
ing,2959,0.023566610119545393
risk,1643,0.013085481725722568
annual,1528,0.01216957764875477
group,1416,0.011277566721620912
financial,1226,0.009764333898804546
board,1219,0.00970858321585868
accounts,1086,0.008649320239887225
information,997,0.007940490128146927
report,918,0.007311303849186438
eur,754,0.006005144991597575
executive,735,0.005853821709315939
consolidated,717,0.005710462810312284
management,621,0.00494588201562612
banking,611,0.004866238182846311
value,600,0.004778629966788522
assets,599,0.0047706655835105406
corporate,585,0.004659164217618809
million,560,0.004460054635669287
capital,547,0.004356517653055536
business,547,0.004356517653055536
governance,522,0.004157408071106014
credit,506,0.00402997793865832
may,505,0.0040220135553803394
bank,504,0.004014049172102358
company,491,0.003910512189488607
loss,480,0.003822903973430817
additional,467,0.003719366990817066
total,456,0.0036317587747592764
interest,446,0.003552114941979468
market,425,0.0033848628931418697
parent,424,0.0033768985098638887
fair,418,0.0033291122101960034
net,401,0.003193717694470329
supervisory,387,0.0030822163285785967
result,378,0.0030105368790767687
continued,370,0.0029468218128529218
contents,358,0.002851249213517151
income,349,0.0027795697640153236
shares,349,0.0027795697640153236
also,346,0.002755676614181381
changes,344,0.002739747847625419
liabilities,341,0.0027158546977914767
risks,324,0.002580460182065802
cash,323,0.0025724957987878208
customers,318,0.0025326738823979165
based,311,0.0024769231994520506
profit,310,0.0024689588161740696
statement,308,0.002453030049618108
data,308,0.002453030049618108
equity,308,0.002453030049618108
nv,306,0.002437101283062146
impact,303,0.0024132081332282037
including,302,0.0024052437499502226
securities,291,0.002317635533892433
rate,284,0.002261884850946567
level,276,0.0021981697847227198
tax,272,0.0021663122516107965
customer,268,0.002134454718498873
loans,262,0.002086668418830988
notes,256,0.0020388821191631027
regulatory,256,0.0020388821191631027
banks,253,0.00201498896932916
share,252,0.002007024586051179
remuneration,248,0.0019751670529392557
lending,245,0.001951273903105313
new,243,0.0019353451365493512
wholesale,243,0.0019353451365493512
operations,239,0.0019034876034374278
position,238,0.001895523220159447
us,238,0.001895523220159447
internal,237,0.0018875588368814662
portfolio,232,0.0018477369204915617
results,232,0.0018477369204915617
trading,231,0.0018397725372135808
related,228,0.0018158793873796382
requirements,226,0.0017999506208236766
model,226,0.0017999506208236766
recognised,224,0.0017840218542677147
retail,221,0.001760128704433772
included,219,0.0017441999378778104
netherlands,215,0.001712342404765887
year,208,0.0016565917218200209
framework,206,0.001640662955264059
performance,205,0.0016326985719860782
services,205,0.0016326985719860782
reporting,199,0.0015849122723181931
nonfinancial,199,0.0015849122723181931
due,199,0.0015849122723181931
amount,196,0.0015610191224842505
dutch,195,0.0015530547392062697
investments,194,0.0015450903559282886
investment,194,0.0015450903559282886
markets,193,0.0015371259726503078
billion,191,0.0015211972060943462
derivatives,190,0.0015132328228163652
members,190,0.0015132328228163652
committee,189,0.0015052684395383843
part,188,0.0014973040562604035
control,188,0.0014973040562604035
significant,187,0.0014893396729824225
activities,187,0.0014893396729824225
one,187,0.0014893396729824225
future,186,0.0014813752897044417
underlying,183,0.001457482139870499
basis,181,0.0014415533733145374
valuation,181,0.0014415533733145374
per,181,0.0014415533733145374
december,180,0.0014335889900365566
within,180,0.0014335889900365566
liquidity,180,0.0014335889900365566
finance,177,0.001409695840202614
line,175,0.0013937670736466521
economic,170,0.0013539451572567478
models,170,0.0013539451572567478
used,169,0.001345980773978767
debt,169,0.001345980773978767
increase,168,0.001338016390700786
rates,168,0.001338016390700786
general,167,0.0013300520074228052
groep,167,0.0013300520074228052
audit,166,0.0013220876241448244
transactions,165,0.0013141232408668436
years,163,0.0012981944743108817
process,162,0.001290230091032901
made,161,0.00128226570775492
balance,159,0.0012663369411989582
ifrs,157,0.0012504081746429966
relevant,156,0.0012424437913650156
subject,155,0.0012344794080870348
costs,154,0.001226515024809054
could,154,0.001226515024809054
member,154,0.001226515024809054
products,153,0.001218550641531073
expenses,153,0.001218550641531073
number,152,0.0012105862582530921
experience,152,0.0012105862582530921
global,151,0.0012026218749751113
instruments,150,0.0011946574916971305
accounting,150,0.0011946574916971305
exposure,149,0.0011866931084191495
well,148,0.0011787287251411687
use,147,0.0011707643418631879
change,147,0.0011707643418631879
issued,146,0.001162799958585207
strategy,146,0.001162799958585207
certain,145,0.001154835575307226
policy,145,0.001154835575307226
rating,142,0.0011309424254732836
losses,141,0.0011229780421953025
policies,141,0.0011229780421953025
employees,141,0.0011229780421953025
growth,140,0.0011150136589173217
asset,139,0.001107049275639341
approach,137,0.001091120509083379
companies,136,0.0010831561258053983
amounts,136,0.0010831561258053983
available,135,0.0010751917425274175
includes,135,0.0010751917425274175
addition,135,0.0010751917425274175
expected,135,0.0010751917425274175
mainly,133,0.0010592629759714556
time,133,0.0010592629759714556
following,133,0.0010592629759714556
include,132,0.0010512985926934748
clients,132,0.0010512985926934748
compliance,130,0.001035369826137513
defined,129,0.0010274054428595321
note,128,0.0010194410595815513
ordinary,128,0.0010194410595815513
date,128,0.0010194410595815513
funding,127,0.0010114766763035705
appetite,126,0.0010035122930255895
regulations,126,0.0010035122930255895
institutions,126,0.0010035122930255895
period,125,0.0009955479097476087
loan,125,0.0009955479097476087
meeting,124,0.0009875835264696279
andor,124,0.0009875835264696279
belgium,123,0.000979619143191647
shareholders,123,0.000979619143191647
countries,123,0.000979619143191647
exchange,122,0.0009716547599136661
key,122,0.0009716547599136661
hedge,122,0.0009716547599136661
price,120,0.0009557259933577043
current,119,0.0009477616100797235
provisions,119,0.0009477616100797235
responsible,118,0.0009397972268017426
positions,118,0.0009397972268017426
account,118,0.0009397972268017426
prices,117,0.0009318328435237618
using,115,0.0009159040769678
various,115,0.0009159040769678
provide,115,0.0009159040769678
external,114,0.0009079396936898191
specific,112,0.0008920109271338574
code,111,0.0008840465438558766
set,111,0.0008840465438558766
effective,109,0.0008681177772999148
values,109,0.0008681177772999148
operating,109,0.0008681177772999148
nn,108,0.0008601533940219339
dividend,108,0.0008601533940219339
procedures,107,0.0008521890107439531
standards,107,0.0008521890107439531
different,106,0.0008442246274659722
required,105,0.0008362602441879914
increased,104,0.0008282958609100104
material,103,0.0008203314776320295
legal,103,0.0008203314776320295
reference,101,0.0008044027110760678
held,101,0.0008044027110760678
reserve,101,0.0008044027110760678
ratio,101,0.0008044027110760678
flows,101,0.0008044027110760678
social,100,0.000796438327798087
potential,100,0.000796438327798087
default,100,0.000796438327798087
deposits,100,0.000796438327798087
interests,99,0.000788473944520106
assessment,99,0.000788473944520106
tier,99,0.000788473944520106
measures,98,0.0007805095612421252
local,96,0.0007645807946861635
people,96,0.0007645807946861635
advances,96,0.0007645807946861635
respect,96,0.0007645807946861635
joint,95,0.0007566164114081826
lower,95,0.0007566164114081826
property,95,0.0007566164114081826
processes,95,0.0007566164114081826
presented,94,0.0007486520281302018
percent,94,0.0007486520281302018
