word,count,tf
philips,1513,0.018676937130442297
eur,1072,0.013233097557061561
million,837,0.010332185312743028
financial,830,0.010245775160784605
company,731,0.00902368872594403
board,635,0.007838635213371354
annual,625,0.007715192139145033
report,621,0.007665814909454505
income,554,0.006838746312138158
group,551,0.006801713389870261
assets,499,0.006159809403893395
management,496,0.006122776481625498
shares,434,0.0053574294214223115
cash,408,0.005036477428433878
health,397,0.004900690046784925
value,389,0.004801935587403869
statements,376,0.004641459590909652
net,376,0.004641459590909652
supervisory,358,0.004419262057302275
business,353,0.004357540520189115
tax,337,0.004160031601427002
information,330,0.004073621449468577
operations,327,0.004036588527200681
performance,327,0.004036588527200681
sales,313,0.0038637682232838325
committee,293,0.0036168820748311917
businesses,285,0.003518127615450135
share,268,0.0033082743892653903
related,267,0.003295930081842758
december,264,0.003258897159574862
risk,255,0.0031477983927711735
care,253,0.0031231097779259097
total,242,0.0029873223962769567
also,242,0.0029873223962769567
shareholders,227,0.002802157784937476
audit,224,0.0027651248626695797
liabilities,216,0.0026663704032885236
may,214,0.0026416817884432594
growth,211,0.0026046488661753634
new,209,0.002579960251330099
year,208,0.002567615943907467
costs,200,0.0024688614845264105
lighting,197,0.0024318285622585145
members,189,0.002333074102877458
including,187,0.002308385488032194
sustainability,180,0.0022219753360737697
based,180,0.0022219753360737697
interest,177,0.0021849424138058733
impact,174,0.0021479094915379774
fair,174,0.0021479094915379774
general,170,0.002098532261847449
treatment,168,0.002073843647002185
due,167,0.002061499339579553
recognized,165,0.0020368107247342887
market,164,0.0020244664173116565
changes,164,0.0020244664173116565
debt,164,0.0020244664173116565
solutions,163,0.002012122109889025
included,161,0.0019874334950437606
products,160,0.0019750891876211285
us,160,0.0019750891876211285
note,156,0.0019257119579306004
executive,155,0.0019133676505079683
control,150,0.001851646113394808
reporting,150,0.001851646113394808
number,149,0.001839301805972176
basis,146,0.0018022688837042798
sale,146,0.0018022688837042798
internal,146,0.0018022688837042798
discontinued,143,0.0017652359614363836
cost,143,0.0017652359614363836
held,143,0.0017652359614363836
amount,142,0.0017528916540137515
diagnosis,141,0.0017405473465911196
balance,139,0.0017158587317458553
mainly,138,0.0017035144243232234
millions,137,0.0016911701169005913
per,137,0.0016911701169005913
results,136,0.0016788258094779592
rate,134,0.0016541371946326951
accounting,131,0.001617104272364799
risks,131,0.001617104272364799
capital,131,0.001617104272364799
loss,130,0.0016047599649421668
informatics,129,0.001592415657519535
environmental,128,0.0015800713500969028
meeting,128,0.0015800713500969028
dutch,128,0.0015800713500969028
personal,128,0.0015800713500969028
connected,127,0.0015677270426742707
plans,127,0.0015677270426742707
activities,126,0.0015553827352516388
increase,125,0.0015430384278290066
significant,124,0.0015306941204063745
equity,123,0.0015183498129837426
dividend,122,0.0015060055055611105
corporate,121,0.0014936611981384784
refer,121,0.0014936611981384784
ifrs,120,0.0014813168907158464
plan,120,0.0014813168907158464
companies,119,0.0014689725832932143
years,119,0.0014689725832932143
longterm,119,0.0014689725832932143
provisions,118,0.0014566282758705822
current,118,0.0014566282758705822
date,117,0.0014442839684479503
common,116,0.0014319396610253182
innovation,116,0.0014319396610253182
development,113,0.001394906738757422
used,113,0.001394906738757422
consolidated,111,0.001370218123912158
